,State,305,311
0,Washington,141260,17352
1,Illinois,656298,94324
2,California,1114524,104076
3,Arizona,299665,29335
4,Massachusetts,206850,18565
5,Wisconsin,376238,51078
6,Texas,1153529,83459
7,Nebraska,114061,16288
8,Utah,177176,28646
9,Oregon,65170,9031
10,Florida,938414,70758
11,New York,596214,42647
12,Rhode Island,48001,8446
13,Georgia,449132,35799
14,New Hampshire,17637,4017
15,North Carolina,336775,25593
16,New Jersey,306007,31122
17,Colorado,198600,41485
18,Maryland,182139,19607
19,Nevada,133888,13291
20,Tennessee,340476,29684
21,Hawaii,17483,647
22,Indiana,295357,52342
23,Kentucky,158100,23861
24,Minnesota,270157,52375
25,Oklahoma,174330,24419
26,Pennsylvania,313358,52663
27,South Carolina,206295,13136
28,District of Columbia,20151,1401
29,Kansas,137085,29336
30,Missouri,277112,32231
31,Vermont,3629,1089
32,Virginia,217796,17761
33,Connecticut,101469,14893
34,Iowa,211664,24754
35,Louisiana,220192,20363
36,Ohio,351419,56681
37,Michigan,329021,56267
38,South Dakota,73065,7442
39,Arkansas,145173,12855
40,Delaware,31808,3896
41,Mississippi,143180,11183
42,New Mexico,81896,21547
43,North Dakota,72683,8636
44,Wyoming,28169,6919
45,Alaska,27773,4668
46,Maine,10359,1697
47,Alabama,232506,17611
48,Idaho,91653,11658
49,Montana,55680,10036
50,Puerto Rico,47459,6740
51,Virgin Islands,1504,77
52,Guam,6452,343
53,West Virginia,40478,9327
54,Northern Mariana Islands,104,6
55,American Samoa,0,0
