,State,284,290,297
0,Washington,108315,5446,5427
1,Illinois,423527,32428,31188
2,California,935878,29321,28702
3,Arizona,247473,9198,9305
4,Massachusetts,159707,7914,6222
5,Wisconsin,241422,34807,36575
6,Texas,945828,46755,45684
7,Nebraska,71666,8255,8507
8,Utah,116510,12623,13363
9,Oregon,45429,3421,3440
10,Florida,807412,25751,24021
11,New York,509735,8284,7042
12,Rhode Island,32874,2196,1975
13,Georgia,361982,12051,11892
14,New Hampshire,11214,832,811
15,North Carolina,276692,17663,17641
16,New Jersey,239629,7676,5474
17,Colorado,109910,14124,14524
18,Maryland,146145,5718,5603
19,Nevada,101477,6277,5992
20,Tennessee,261426,15752,16142
21,Hawaii,15367,NaN,NaN
22,Indiana,182108,20005,20901
23,Kentucky,108642,12179,13427
24,Minnesota,150672,18147,18149
25,Oklahoma,124111,7649,7971
26,Pennsylvania,214416,14756,14448
27,South Carolina,178023,7071,6925
28,District of Columbia,17369,566,537
29,Kansas,90290,7275,7515
30,Missouri,188325,16215,17232
31,Vermont,2196,73,35
32,Virginia,182392,9102,8980
33,Connecticut,71207,3662,2961
34,Iowa,130974,14189,14498
35,Louisiana,187720,2791,2253
36,Ohio,219000,20431,20555
37,Michigan,197406,22424,22131
38,South Dakota,47324,9078,10452
39,Arkansas,113057,7524,7712
40,Delaware,25126,1096,1003
41,Mississippi,120500,5648,5457
42,New Mexico,47232,5351,5425
43,North Dakota,45043,6498,7481
44,Wyoming,13723,2765,3351
45,Alaska,16705,NaN,NaN
46,Maine,6711,487,462
47,Alabama,194458,10036,9855
48,Idaho,65088,6268,6366
49,Montana,33495,6596,8272
50,Puerto Rico,34541,NaN,NaN
51,Virgin Islands,1376,NaN,NaN
52,Guam,4628,NaN,NaN
53,West Virginia,24883,2847,2927
54,Northern Mariana Islands,96,NaN,NaN
55,American Samoa,0,NaN,NaN
