,State,382,388,395,402,409,416,423,430,437
0,Washington,320146,8199,7488,6768,6016,5302,4646,4055,3534
1,Illinois,1146346,18846,15906,13527,11446,9653,8122,6821,5718
2,California,3417982,108760,125998,131840,131065,127205,121916,116022,110018
3,Arizona,780637,24789,23427,22404,21308,20197,19107,18047,17025
4,Massachusetts,543934,24810,31639,33392,32904,31241,29040,26602,24158
5,Wisconsin,600782,8453,7628,7032,6488,5952,5450,4971,4522
6,Texas,2494861,119570,110513,102760,96564,91230,86437,81991,77794
7,Nebraska,193722,2901,2889,2716,2469,2210,1960,1733,1533
8,Utah,354608,7346,5748,4614,3751,3088,2562,2159,1832
9,Oregon,147122,4138,3671,3221,2820,2471,2165,1895,1662
10,Florida,1777983,53854,47565,43173,39262,35691,32446,29474,26736
11,New York,1480224,65896,71211,70653,66636,61018,55033,49159,43564
12,Rhode Island,117891,3299,3070,2906,2746,2590,2440,2297,2160
13,Georgia,940991,29324,25849,23448,21037,18930,16949,15076,13421
14,New Hampshire,68379,3178,3900,4170,4186,4080,3917,3728,3530
15,North Carolina,796195,38395,37080,35635,34121,32574,31045,29539,28057
16,New Jersey,722167,22670,18266,15253,12823,10848,9178,7762,6597
17,Colorado,405330,10083,10850,10604,9989,9242,8476,7743,7063
18,Maryland,363650,8581,7419,6748,6239,5816,5445,5109,4797
19,Nevada,284042,6481,6971,6844,6370,5762,5163,4597,4051
20,Tennessee,744600,16787,15675,14862,14105,13374,12671,11998,11350
21,Hawaii,26684,613,615,616,612,605,597,588,579
22,Indiana,639711,17348,23823,26420,26986,26549,25631,24497,23277
23,Kentucky,377790,13933,11619,9886,8506,7370,6427,5628,4939
24,Minnesota,468118,7683,9450,10004,9983,9693,9284,8832,8372
25,Oklahoma,403954,13926,11647,9832,8318,7051,5980,5084,4331
26,Pennsylvania,873146,26699,25916,24117,21757,19327,16980,14796,12823
27,South Carolina,466373,22110,20554,19551,18591,17653,16746,15862,14996
28,District of Columbia,38035,1209,1219,1213,1191,1157,1116,1072,1023
29,Kansas,283926,6981,7022,6940,6647,6232,5809,5368,4909
30,Missouri,481929,6949,4947,3830,3092,2560,2150,1817,1536
31,Vermont,12900,857,676,531,429,353,295,250,215
32,Virginia,529125,19058,11736,8146,6205,5088,4388,3904,3534
33,Connecticut,259372,10097,11057,10993,10318,9405,8402,7380,6398
34,Iowa,324590,4790,4070,3520,3042,2633,2292,2004,1762
35,Louisiana,411812,12969,13795,14293,14472,14449,14279,14044,13764
36,Ohio,920217,26168,27057,26413,24859,22959,21005,19114,17335
37,Michigan,620685,12444,14737,14904,14097,12905,11609,10343,9164
38,South Dakota,109229,1164,1212,1103,955,807,674,563,471
39,Arkansas,306736,11672,11284,10727,10193,9684,9199,8735,8292
40,Delaware,80594,2643,3240,3504,3541,3468,3320,3132,2927
41,Mississippi,281678,6318,5940,5695,5451,5203,4957,4717,4482
42,New Mexico,177556,4173,4919,5176,5159,5006,4793,4555,4310
43,North Dakota,98155,703,856,838,770,694,622,560,506
44,Wyoming,52627,764,539,419,340,282,237,198,165
45,Alaska,55259,1051,977,856,749,657,581,518,466
46,Maine,41219,1832,1743,1680,1611,1538,1464,1390,1316
47,Alabama,472423,15794,15555,15014,14373,13695,13018,12355,11713
48,Idaho,165209,2398,2143,1903,1667,1453,1266,1106,970
49,Montana,95790,1621,1103,818,632,508,420,355,305
50,Puerto Rico,95839,1746,1442,1193,954,743,567,425,312
51,Virgin Islands,2466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,7636,52,41,32,25,21,17,14,12
53,West Virginia,124708,3709,3187,2614,2120,1723,1408,1155,957
54,Northern Mariana Islands,133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
