,State,285,290,297,304,311
0,Washington,109354,4972,4971,4744,4468
1,Illinois,429749,35903,32593,30173,26399
2,California,940411,31384,33904,34679,35306
3,Arizona,248139,10268,11440,12239,12540
4,Massachusetts,160549,5720,5428,4960,4293
5,Wisconsin,244927,36998,44075,52417,63011
6,Texas,952592,43734,44400,43533,42450
7,Nebraska,72620,8434,10168,12004,14109
8,Utah,117706,12421,13888,15131,16231
9,Oregon,45978,2949,3092,3134,3013
10,Florida,812063,29592,31442,32709,33390
11,New York,511368,8925,8509,8107,7690
12,Rhode Island,34120,2370,2167,1773,1385
13,Georgia,362921,12831,13920,15061,15544
14,New Hampshire,11320,747,767,759,698
15,North Carolina,278028,14963,14916,14757,14667
16,New Jersey,240997,6400,5847,5370,4946
17,Colorado,112147,19710,29020,42632,62732
18,Maryland,146995,5545,5621,5264,4905
19,Nevada,102114,6090,6153,5988,5510
20,Tennessee,264587,16799,16053,15300,14705
21,Hawaii,15444,457,433,431,450
22,Indiana,185185,22804,27965,34911,42657
23,Kentucky,109670,11601,14063,15974,16857
24,Minnesota,153620,21324,26908,36298,47934
25,Oklahoma,125195,7919,7815,7896,8156
26,Pennsylvania,217243,17790,20999,23818,26339
27,South Carolina,178917,7224,7221,7305,7245
28,District of Columbia,17438,NaN,NaN,NaN,NaN
29,Kansas,90738,7800,8433,8884,9432
30,Missouri,191223,14920,14885,16321,16761
31,Vermont,2219,81,61,50,43
32,Virginia,183418,8177,7384,7004,6502
33,Connecticut,73858,4070,3679,3316,2938
34,Iowa,132516,14183,14803,17427,20017
35,Louisiana,187995,4351,4816,5433,5929
36,Ohio,221909,23806,27428,30818,33910
37,Michigan,204326,26648,35045,45898,59362
38,South Dakota,47850,9165,11430,14515,18158
39,Arkansas,113641,6864,6780,6828,6729
40,Delaware,25311,875,831,797,748
41,Mississippi,120865,5277,5271,4960,4914
42,New Mexico,48104,5504,4665,3591,1608
43,North Dakota,46015,8586,10493,12716,16095
44,Wyoming,14167,3279,4253,5628,7375
45,Alaska,17057,4325,6413,9113,12886
46,Maine,6798,492,436,394,343
47,Alabama,195692,9051,9802,9426,8543
48,Idaho,65845,6273,6310,6134,5875
49,Montana,34252,6093,6910,8016,9789
50,Puerto Rico,35405,NaN,NaN,NaN,NaN
51,Virgin Islands,1376,NaN,NaN,NaN,NaN
52,Guam,4628,NaN,NaN,NaN,NaN
53,West Virginia,25238,2794,3068,3422,3540
54,Northern Mariana Islands,96,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
