,State,320,325,332,339,346
0,Washington,184404,21229,16909,18321,17622
1,Illinois,796264,69006,68588,48776,68539
2,California,1390828,215577,154742,208757,287398
3,Arizona,365843,26339,36891,26010,21288
4,Massachusetts,259325,42679,43395,34929,32311
5,Wisconsin,443389,37652,38391,35001,39280
6,Texas,1331719,115743,90742,145810,96230
7,Nebraska,141127,15370,17709,12748,16682
8,Utah,217638,22224,14543,13168,17875
9,Oregon,85788,13434,13648,13275,15594
10,Florida,1065785,53296,51305,50273,56064
11,New York,713129,77501,84406,79824,70238
12,Rhode Island,65818,9096,6151,6482,8471
13,Georgia,506690,33821,34719,32901,34033
14,New Hampshire,25816,5239,4815,5415,4298
15,North Carolina,399362,35068,35837,37044,36331
16,New Jersey,371579,57896,44493,44602,46431
17,Colorado,264618,39580,41468,34535,36182
18,Maryland,217329,22232,20465,23512,22598
19,Nevada,170587,15716,21950,58526,19834
20,Tennessee,408730,39714,40866,37614,39643
21,Hawaii,18923,647,495,534,509
22,Indiana,387278,63782,58803,65328,58937
23,Kentucky,202591,31869,25577,27146,24117
24,Minnesota,356152,63128,65134,52751,42832
25,Oklahoma,218389,28677,25648,26240,23662
26,Pennsylvania,432207,83908,94546,90604,75412
27,South Carolina,234652,15776,16028,15281,19244
28,District of Columbia,23319,1819,2018,2627,2030
29,Kansas,176871,18101,15035,12803,13338
30,Missouri,332227,25003,25415,28077,27298
31,Vermont,5080,860,894,873,1452
32,Virginia,258870,19800,21730,21402,19726
33,Connecticut,135844,18841,20115,17779,19724
34,Iowa,245984,19112,19311,15719,17783
35,Louisiana,252136,19433,19019,21297,20299
36,Ohio,484297,89332,72159,75869,77131
37,Michigan,436400,70172,71630,47582,44774
38,South Dakota,86500,7265,6633,6331,6266
39,Arkansas,172042,14281,13729,14214,13912
40,Delaware,40711,6599,5218,7779,5652
41,Mississippi,166194,14766,14571,14539,13725
42,New Mexico,109947,16032,14060,14432,14760
43,North Dakota,83342,5792,4747,5160,4901
44,Wyoming,36985,4835,4745,4259,4334
45,Alaska,37539,6104,5416,12450,8387
46,Maine,13775,1943,1878,1664,1376
47,Alabama,272229,22177,27243,20273,24273
48,Idaho,111893,11173,11278,9677,12125
49,Montana,68591,7435,6529,6579,5362
50,Puerto Rico,57622,NaN,NaN,NaN,NaN
51,Virgin Islands,1649,NaN,NaN,NaN,NaN
52,Guam,7019,NaN,NaN,NaN,NaN
53,West Virginia,56128,8935,8990,9112,8379
54,Northern Mariana Islands,111,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
