,State,341,346,353,360,367
0,Washington,238672,20935,11275,9173,9256
1,Illinois,942362,32534,28655,24665,16369
2,California,2192684,719028,181507,349155,512508
3,Arizona,504423,165661,28511,27677,25390
4,Massachusetts,356934,26226,24172,20920,21713
5,Wisconsin,510137,14859,15105,13570,11595
6,Texas,1700549,80271,39438,59734,68437
7,Nebraska,162849,4429,2963,7730,1120
8,Utah,266590,11459,10993,9854,8820
9,Oregon,110545,5798,4040,7616,6854
10,Florida,1280177,91751,56196,69275,47135
11,New York,932552,27132,70765,85293,82379
12,Rhode Island,85602,850,5868,1737,1783
13,Georgia,636240,46887,42185,30603,28676
14,New Hampshire,41670,5021,2280,3768,1121
15,North Carolina,520716,41145,46673,35230,47966
16,New Jersey,463965,20869,27213,24128,25056
17,Colorado,326668,20486,14041,20489,10987
18,Maryland,269183,13430,9933,12654,15275
19,Nevada,218377,2559,993,1679,14027
20,Tennessee,567792,53486,70308,54637,37657
21,Hawaii,21395,157,1042,291,179
22,Indiana,496306,23754,34346,34355,20092
23,Kentucky,258516,12798,13144,15398,8102
24,Minnesota,410138,14306,5740,8612,7427
25,Oklahoma,282587,14844,20178,18155,11916
26,Pennsylvania,618902,67153,55570,47570,48151
27,South Carolina,298050,22071,17803,13514,15268
28,District of Columbia,28342,2871,247,1406,2637
29,Kansas,219044,8880,3900,7884,5994
30,Missouri,393529,16212,13339,15791,5983
31,Vermont,7120,397,374,562,255
32,Virginia,336175,25460,16434,22871,22180
33,Connecticut,181200,6802,16732,5982,3743
34,Iowa,276649,6804,6848,4882,4598
35,Louisiana,300539,12176,11902,8016,7021
36,Ohio,675044,31699,54197,30409,35148
37,Michigan,519876,20356,23594,18326,17902
38,South Dakota,97657,1484,2362,2565,2523
39,Arkansas,216528,15411,11691,13316,8894
40,Delaware,55488,1240,2002,6011,1827
41,Mississippi,208089,11943,10707,9206,9187
42,New Mexico,138659,11714,6123,6929,3639
43,North Dakota,91557,672,650,637,494
44,Wyoming,43704,1168,864,1351,740
45,Alaska,45909,1346,1433,1078,1137
46,Maine,22319,2668,2788,1159,1556
47,Alabama,347897,24614,23809,16024,20697
48,Idaho,137010,4957,6894,5193,3276
49,Montana,79999,1808,1165,2590,1433
50,Puerto Rico,73658,NaN,NaN,NaN,NaN
51,Virgin Islands,1979,NaN,NaN,NaN,NaN
52,Guam,7281,NaN,NaN,NaN,NaN
53,West Virginia,81436,6459,7390,7772,6369
54,Northern Mariana Islands,122,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
