,State,263,269,276,283,290
0,Washington,2190,41,48,49,54
1,Illinois,9230,206,248,290,342
2,California,16579,415,416,455,519
3,Arizona,5759,96,107,131,154
4,Massachusetts,9604,132,130,130,130
5,Wisconsin,1465,161,170,177,187
6,Texas,16971,596,617,696,813
7,Nebraska,519,32,40,56,72
8,Utah,517,34,38,48,54
9,Oregon,599,23,29,37,47
10,Florida,15364,389,356,334,317
11,New York,33294,108,137,180,233
12,Rhode Island,1130,11,14,18,21
13,Georgia,7416,190,195,239,305
14,New Hampshire,456,4,12,26,46
15,North Carolina,3770,218,283,375,502
16,New Jersey,16174,75,90,112,130
17,Colorado,2113,52,61,84,106
18,Maryland,3999,42,43,53,60
19,Nevada,1661,58,59,62,66
20,Tennessee,2767,152,201,280,365
21,Hawaii,169,7,7,11,13
22,Indiana,3789,115,157,211,267
23,Kentucky,1252,58,68,87,106
24,Minnesota,2194,49,53,64,76
25,Oklahoma,1098,46,50,56,66
26,Pennsylvania,8330,147,204,305,435
27,South Carolina,3552,126,127,132,156
28,District of Columbia,637,7,7,9,15
29,Kansas,774,35,41,54,62
30,Missouri,2424,173,172,177,188
31,Vermont,58,0,0,0,0
32,Virginia,3358,122,170,257,360
33,Connecticut,4530,19,21,23,25
34,Iowa,1462,28,27,27,29
35,Louisiana,5655,67,68,77,101
36,Ohio,4999,156,198,254,332
37,Michigan,7219,118,148,196,256
38,South Dakota,286,19,25,30,39
39,Arkansas,1569,80,89,100,113
40,Delaware,654,8,8,8,7
41,Mississippi,3101,76,91,122,153
42,New Mexico,911,31,45,64,84
43,North Dakota,337,36,36,36,38
44,Wyoming,54,0,2,7,12
45,Alaska,60,7,7,14,15
46,Maine,143,0,0,0,6
47,Alabama,2664,50,58,67,79
48,Idaho,507,39,44,50,55
49,Montana,210,25,35,48,67
50,Puerto Rico,730,NaN,NaN,NaN,NaN
51,Virgin Islands,20,NaN,NaN,NaN,NaN
52,Guam,58,NaN,NaN,NaN,NaN
53,West Virginia,385,14,14,20,28
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
