,State,354,360
0,Washington,3698,330
1,Illinois,19293,1020
2,California,30004,3917
3,Arizona,10141,1158
4,Massachusetts,13151,583
5,Wisconsin,5570,246
6,Texas,30479,1426
7,Nebraska,1760,126
8,Utah,1392,97
9,Oregon,1604,120
10,Florida,22912,801
11,New York,39632,1314
12,Rhode Island,1916,133
13,Georgia,11458,512
14,New Hampshire,869,112
15,North Carolina,7567,628
16,New Jersey,19854,767
17,Colorado,5208,272
18,Maryland,6272,278
19,Nevada,3467,255
20,Tennessee,7785,746
21,Hawaii,308,26
22,Indiana,8985,330
23,Kentucky,2901,320
24,Minnesota,5775,219
25,Oklahoma,2761,176
26,Pennsylvania,17717,1368
27,South Carolina,5811,464
28,District of Columbia,817,16
29,Kansas,3141,260
30,Missouri,6133,589
31,Vermont,156,26
32,Virginia,5383,262
33,Connecticut,6324,298
34,Iowa,4138,151
35,Louisiana,7873,272
36,Ohio,9627,446
37,Michigan,14145,697
38,South Dakota,1585,78
39,Arkansas,4043,244
40,Delaware,972,79
41,Mississippi,5167,329
42,New Mexico,2749,184
43,North Dakota,1352,36
44,Wyoming,489,45
45,Alaska,224,17
46,Maine,432,57
47,Alabama,5334,315
48,Idaho,1534,75
49,Montana,1056,128
50,Puerto Rico,1630,60
51,Virgin Islands,24,0
52,Guam,124,3
53,West Virginia,1582,229
54,Northern Mariana Islands,2,0
55,American Samoa,0,0
