,State,243,248,255,262,269,276,283,290
0,Washington,2049,29,28,23,18,14,11,8
1,Illinois,8693,130,113,93,73,59,47,37
2,California,15056,480,458,371,294,237,187,153
3,Arizona,5478,180,161,131,106,85,68,54
4,Massachusetts,9317,101,83,66,53,42,33,27
5,Wisconsin,1244,95,104,97,87,77,64,55
6,Texas,15127,627,573,463,371,304,245,199
7,Nebraska,452,12,12,10,8,6,4,3
8,Utah,441,21,21,18,15,12,9,8
9,Oregon,529,26,20,16,13,10,8,6
10,Florida,13317,584,554,450,367,293,234,182
11,New York,33092,46,38,30,24,18,14,11
12,Rhode Island,1097,4,3,2,2,1,1,0
13,Georgia,6604,217,211,174,141,112,90,72
14,New Hampshire,438,3,2,2,1,1,0,0
15,North Carolina,3247,157,146,119,97,79,63,51
16,New Jersey,16069,33,29,23,18,14,10,8
17,Colorado,2018,27,26,21,17,13,10,8
18,Maryland,3883,33,28,23,18,14,11,9
19,Nevada,1531,63,58,48,38,30,23,19
20,Tennessee,2233,162,161,132,110,90,73,59
21,Hawaii,120,8,8,6,4,3,2,1
22,Indiana,3512,50,46,38,31,25,19,15
23,Kentucky,1112,48,44,37,30,24,19,15
24,Minnesota,2021,59,58,48,39,33,26,21
25,Oklahoma,948,47,46,39,32,25,21,16
26,Pennsylvania,7985,87,64,52,41,32,26,20
27,South Carolina,3212,101,87,69,57,46,36,29
28,District of Columbia,621,3,1,1,1,0,0,0
29,Kansas,601,39,38,31,25,20,16,12
30,Missouri,1838,65,65,55,45,37,30,23
31,Vermont,58,0,0,0,0,0,0,0
32,Virginia,3019,113,86,71,57,46,37,29
33,Connecticut,4495,2,2,1,1,1,0,0
34,Iowa,1284,41,41,34,28,23,18,14
35,Louisiana,5377,123,95,78,64,51,40,32
36,Ohio,4623,116,111,90,74,59,47,38
37,Michigan,6981,22,20,15,10,7,5,3
38,South Dakota,202,10,8,7,6,4,3,3
39,Arkansas,1197,56,55,46,37,30,24,19
40,Delaware,627,1,1,1,1,0,0,0
41,Mississippi,2810,96,93,76,61,49,39,31
42,New Mexico,851,21,19,14,12,9,7,5
43,North Dakota,193,12,13,11,9,8,6,5
44,Wyoming,49,3,3,3,2,2,1,1
45,Alaska,45,1,1,1,1,0,0,0
46,Maine,140,1,1,0,0,0,0,0
47,Alabama,2439,69,68,55,45,37,30,23
48,Idaho,447,25,21,16,11,8,5,4
49,Montana,160,17,17,14,12,10,8,7
50,Puerto Rico,609,104,107,93,77,65,54,44
51,Virgin Islands,19,0,0,0,0,0,0,0
52,Guam,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,315,30,28,24,20,16,13,10
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
