,State,369,374,381,388,395
0,Washington,4148,200,247,213,201
1,Illinois,20744,643,746,627,585
2,California,37543,3466,4119,4102,4072
3,Arizona,12239,1046,1279,1248,1232
4,Massachusetts,14178,530,676,598,573
5,Wisconsin,6199,262,253,280,286
6,Texas,35090,2325,2518,2616,2645
7,Nebraska,1894,66,78,59,58
8,Utah,1597,99,100,104,104
9,Oregon,1882,100,117,122,121
10,Florida,25446,1208,1395,1401,1400
11,New York,42544,1372,1667,1606,1582
12,Rhode Island,2110,83,111,97,92
13,Georgia,13303,851,947,1072,1105
14,New Hampshire,990,70,90,74,69
15,North Carolina,8720,673,705,717,724
16,New Jersey,20972,530,613,564,545
17,Colorado,5512,167,181,141,139
18,Maryland,6900,300,313,310,310
19,Nevada,4029,244,274,272,269
20,Tennessee,8970,490,663,581,548
21,Hawaii,341,14,16,19,19
22,Indiana,9728,364,402,331,307
23,Kentucky,3460,262,227,270,285
24,Minnesota,6166,181,189,161,152
25,Oklahoma,3293,263,251,280,289
26,Pennsylvania,20593,1296,1443,1406,1384
27,South Carolina,6552,401,517,463,446
28,District of Columbia,879,NaN,NaN,NaN,NaN
29,Kansas,3613,218,300,220,207
30,Missouri,6786,293,310,317,315
31,Vermont,171,11,17,12,11
32,Virginia,6081,335,411,400,394
33,Connecticut,6911,245,339,282,263
34,Iowa,4488,160,168,159,155
35,Louisiana,8590,365,354,379,388
36,Ohio,10768,522,606,562,546
37,Michigan,15219,428,482,442,421
38,South Dakota,1705,52,47,47,46
39,Arkansas,4650,293,315,307,304
40,Delaware,1049,41,49,42,40
41,Mississippi,5777,285,342,320,311
42,New Mexico,3157,185,170,180,183
43,North Dakota,1436,27,26,24,23
44,Wyoming,571,33,48,39,35
45,Alaska,259,11,10,15,16
46,Maine,547,61,82,71,68
47,Alabama,6662,461,621,679,682
48,Idaho,1681,64,63,57,55
49,Montana,1151,45,43,45,45
50,Puerto Rico,1778,NaN,NaN,NaN,NaN
51,Virgin Islands,24,NaN,NaN,NaN,NaN
52,Guam,129,NaN,NaN,NaN,NaN
53,West Virginia,1899,150,178,166,162
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
