,State,417,423,430,437,444
0,Washington,5123,51,48,40,33
1,Illinois,23207,217,214,211,190
2,California,56573,1755,1155,894,752
3,Arizona,16553,188,156,132,117
4,Massachusetts,16645,252,239,247,235
5,Wisconsin,7176,89,91,82,55
6,Texas,46423,841,685,535,413
7,Nebraska,2127,36,43,42,23
8,Utah,2027,54,38,36,33
9,Oregon,2322,61,61,41,41
10,Florida,32255,545,508,455,409
11,New York,48953,633,611,598,564
12,Rhode Island,2567,16,16,13,10
13,Georgia,18215,216,154,109,81
14,New Hampshire,1199,33,33,34,18
15,North Carolina,11691,123,90,61,44
16,New Jersey,23903,313,350,368,381
17,Colorado,6038,68,69,42,41
18,Maryland,8048,110,121,96,95
19,Nevada,5118,109,109,81,79
20,Tennessee,11639,58,50,38,31
21,Hawaii,450,24,30,14,9
22,Indiana,12856,133,129,126,107
23,Kentucky,4982,139,118,99,83
24,Minnesota,6814,93,91,71,71
25,Oklahoma,4701,98,113,103,81
26,Pennsylvania,24510,207,242,231,210
27,South Carolina,8875,136,121,90,80
28,District of Columbia,1041,33,41,41,21
29,Kansas,4778,40,42,22,8
30,Missouri,8660,124,147,115,111
31,Vermont,214,19,24,25,13
32,Virginia,10019,412,388,345,311
33,Connecticut,7765,35,33,26,20
34,Iowa,5641,70,59,50,45
35,Louisiana,9884,132,126,118,112
36,Ohio,17870,35,39,36,19
37,Michigan,16769,116,119,120,121
38,South Dakota,1912,35,39,25,13
39,Arkansas,5474,129,85,44,28
40,Delaware,1507,68,58,44,43
41,Mississippi,6901,114,100,88,86
42,New Mexico,3852,67,52,31,25
43,North Dakota,1488,21,25,24,10
44,Wyoming,691,4,4,3,2
45,Alaska,306,4,4,3,3
46,Maine,724,31,40,40,26
47,Alabama,10327,127,94,73,57
48,Idaho,1910,20,21,19,18
49,Montana,1392,29,22,9,8
50,Puerto Rico,2080,NaN,NaN,NaN,NaN
51,Virgin Islands,25,NaN,NaN,NaN,NaN
52,Guam,133,NaN,NaN,NaN,NaN
53,West Virginia,2530,42,36,36,36
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
