,State,347,353,360,367,374
0,Washington,3459,131,138,145,151
1,Illinois,18322,577,580,577,542
2,California,26638,2211,2567,2890,3238
3,Arizona,9061,504,570,630,682
4,Massachusetts,12610,311,352,390,424
5,Wisconsin,5261,232,265,292,317
6,Texas,28430,1343,1366,1362,1379
7,Nebraska,1672,68,79,90,103
8,Utah,1301,123,132,140,150
9,Oregon,1500,82,94,104,115
10,Florida,21987,719,738,743,759
11,New York,38415,1258,1485,1694,1917
12,Rhode Island,1777,61,77,89,104
13,Georgia,10964,396,410,421,427
14,New Hampshire,780,49,61,72,83
15,North Carolina,6910,337,353,373,383
16,New Jersey,19208,354,409,462,505
17,Colorado,4934,214,238,257,277
18,Maryland,5994,189,211,229,250
19,Nevada,3180,166,183,197,213
20,Tennessee,7025,453,497,541,576
21,Hawaii,289,7,6,6,5
22,Indiana,8475,368,411,448,481
23,Kentucky,2723,143,158,172,185
24,Minnesota,5489,173,189,200,207
25,Oklahoma,2547,185,204,221,240
26,Pennsylvania,16230,1226,1234,1218,1216
27,South Carolina,5469,181,198,213,229
28,District of Columbia,794,39,59,61,73
29,Kansas,2872,146,174,200,229
30,Missouri,5736,247,286,323,352
31,Vermont,140,8,11,14,17
32,Virginia,5124,243,256,267,276
33,Connecticut,6099,144,174,202,231
34,Iowa,3946,107,101,90,85
35,Louisiana,7537,188,237,283,331
36,Ohio,9076,503,531,555,568
37,Michigan,13306,329,362,390,393
38,South Dakota,1513,52,53,55,60
39,Arkansas,3749,160,187,211,238
40,Delaware,930,40,47,53,60
41,Mississippi,4871,136,144,149,157
42,New Mexico,2551,68,71,73,80
43,North Dakota,1310,6,0,0,0
44,Wyoming,438,17,15,13,12
45,Alaska,215,9,9,9,9
46,Maine,359,27,32,35,40
47,Alabama,4873,279,312,342,373
48,Idaho,1448,65,63,61,63
49,Montana,972,30,25,20,16
50,Puerto Rico,1545,NaN,NaN,NaN,NaN
51,Virgin Islands,23,NaN,NaN,NaN,NaN
52,Guam,122,NaN,NaN,NaN,NaN
53,West Virginia,1376,110,128,146,167
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
