,State,250,255,262,269,276,283,290
0,Washington,2100,66,63,59,57,55,53
1,Illinois,8858,279,260,238,220,204,190
2,California,15633,332,310,285,265,248,233
3,Arizona,5624,52,48,43,39,36,33
4,Massachusetts,9415,111,102,89,77,68,59
5,Wisconsin,1283,164,166,176,190,206,223
6,Texas,15807,810,766,701,638,587,541
7,Nebraska,472,35,34,34,34,36,37
8,Utah,453,69,67,65,64,64,63
9,Oregon,547,26,25,25,25,25,26
10,Florida,14037,204,191,175,162,151,141
11,New York,33140,233,214,187,165,147,132
12,Rhode Island,1110,17,16,14,12,11,10
13,Georgia,6961,130,123,115,108,103,98
14,New Hampshire,439,6,6,5,5,5,5
15,North Carolina,3445,180,171,162,155,148,143
16,New Jersey,16107,138,126,109,95,82,71
17,Colorado,2044,103,98,92,87,83,80
18,Maryland,3938,61,56,50,46,42,39
19,Nevada,1585,36,34,31,30,28,27
20,Tennessee,2389,98,95,92,92,93,93
21,Hawaii,132,8,8,7,7,7,7
22,Indiana,3591,109,102,94,88,82,77
23,Kentucky,1162,59,57,56,56,57,58
24,Minnesota,2067,92,88,84,82,81,80
25,Oklahoma,1007,94,98,110,119,116,108
26,Pennsylvania,8088,160,151,143,137,132,127
27,South Carolina,3337,122,115,107,100,93,87
28,District of Columbia,624,9,8,7,6,6,5
29,Kansas,644,61,60,60,63,66,65
30,Missouri,2057,120,118,118,121,126,130
31,Vermont,58,0,0,1,1,2,2
32,Virginia,3170,82,80,82,85,89,93
33,Connecticut,4503,56,51,45,39,34,30
34,Iowa,1324,80,78,77,78,78,78
35,Louisiana,5480,80,75,67,60,54,49
36,Ohio,4746,116,109,103,98,94,91
37,Michigan,7051,225,210,192,177,164,152
38,South Dakota,218,32,32,35,38,43,46
39,Arkansas,1329,69,66,64,63,61,60
40,Delaware,634,12,11,10,9,8,7
41,Mississippi,2921,70,65,60,56,52,49
42,New Mexico,873,23,21,20,19,19,18
43,North Dakota,234,33,33,35,37,40,42
44,Wyoming,50,9,9,10,12,13,15
45,Alaska,56,6,6,6,6,6,6
46,Maine,140,2,2,3,3,3,4
47,Alabama,2501,94,89,83,77,73,68
48,Idaho,460,36,36,37,39,41,44
49,Montana,174,21,22,24,27,29,30
50,Puerto Rico,648,78,75,74,73,72,71
51,Virgin Islands,20,0,0,0,0,0,0
52,Guam,39,6,6,6,7,7,8
53,West Virginia,342,15,15,17,19,22,24
54,Northern Mariana Islands,2,0,0,0,0,0,0
55,American Samoa,0,0,0,0,0,0,0
