,State,368,374,381,388,395,402
0,Washington,4114,183,177,170,164,157
1,Illinois,20680,638,571,509,452,401
2,California,37121,2961,2722,2465,2209,1962
3,Arizona,12238,867,803,733,662,592
4,Massachusetts,14133,472,460,447,431,414
5,Wisconsin,6190,199,173,151,131,113
6,Texas,34911,2420,2407,2307,2160,1992
7,Nebraska,1879,55,47,41,35,29
8,Utah,1595,81,77,72,68,63
9,Oregon,1880,97,90,83,76,70
10,Florida,25293,1081,1021,939,849,760
11,New York,42325,1483,1566,1636,1690,1726
12,Rhode Island,2083,85,80,75,69,64
13,Georgia,13250,704,684,644,595,542
14,New Hampshire,987,68,67,66,64,63
15,North Carolina,8695,538,503,460,415,372
16,New Jersey,20951,565,562,554,543,529
17,Colorado,5505,166,144,125,108,94
18,Maryland,6865,306,306,304,300,296
19,Nevada,4026,206,188,171,154,139
20,Tennessee,8859,458,384,317,259,211
21,Hawaii,341,12,13,14,14,15
22,Indiana,9716,386,354,323,293,265
23,Kentucky,3421,207,205,201,195,188
24,Minnesota,6163,140,114,93,75,61
25,Oklahoma,3279,192,172,150,128,109
26,Pennsylvania,20532,1120,1015,913,815,723
27,South Carolina,6547,362,334,298,262,228
28,District of Columbia,872,28,28,28,28,27
29,Kansas,3587,213,199,185,171,157
30,Missouri,6781,274,248,224,202,181
31,Vermont,170,15,16,17,18,19
32,Virginia,6078,352,334,310,283,256
33,Connecticut,6819,250,247,242,236,229
34,Iowa,4487,147,141,135,129,123
35,Louisiana,8565,305,275,240,206,174
36,Ohio,10711,445,412,380,349,320
37,Michigan,15181,400,341,291,248,211
38,South Dakota,1705,39,32,27,22,18
39,Arkansas,4606,296,270,239,209,181
40,Delaware,1041,38,36,35,34,32
41,Mississippi,5772,246,207,169,135,108
42,New Mexico,3145,146,132,118,106,94
43,North Dakota,1436,19,14,11,8,6
44,Wyoming,571,24,20,17,14,12
45,Alaska,259,8,7,6,5,4
46,Maine,544,65,67,69,70,71
47,Alabama,6660,424,350,277,214,163
48,Idaho,1669,58,51,45,39,34
49,Montana,1151,34,30,26,22,19
50,Puerto Rico,1773,70,63,56,50,44
51,Virgin Islands,24,NaN,NaN,NaN,NaN,NaN
52,Guam,128,NaN,NaN,NaN,NaN,NaN
53,West Virginia,1895,140,126,112,99,87
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
