,State,221,227,234,241,248
0,Washington,1905,43,47,38,30
1,Illinois,8228,139,139,140,138
2,California,12937,673,609,540,449
3,Arizona,5030,217,182,145,113
4,Massachusetts,9049,114,116,104,93
5,Wisconsin,1122,41,42,39,35
6,Texas,12683,865,853,734,617
7,Nebraska,392,13,17,18,20
8,Utah,407,20,24,23,23
9,Oregon,458,37,30,26,22
10,Florida,11119,650,605,472,363
11,New York,32909,65,59,57,55
12,Rhode Island,1046,16,17,17,17
13,Georgia,5604,470,492,466,416
14,New Hampshire,432,3,4,4,4
15,North Carolina,2692,167,182,177,170
16,New Jersey,15937,31,31,29,27
17,Colorado,1942,21,22,19,17
18,Maryland,3752,57,52,44,37
19,Nevada,1302,94,89,77,62
20,Tennessee,1747,165,151,130,108
21,Hawaii,63,13,16,18,20
22,Indiana,3291,70,71,71,70
23,Kentucky,929,54,55,55,55
24,Minnesota,1865,54,66,72,79
25,Oklahoma,799,83,95,104,111
26,Pennsylvania,7658,93,93,85,77
27,South Carolina,2709,188,191,164,142
28,District of Columbia,606,2,1,1,1
29,Kansas,449,26,29,32,36
30,Missouri,1533,69,77,75,72
31,Vermont,58,0,0,0,0
32,Virginia,2569,99,107,100,94
33,Connecticut,4465,5,5,5,4
34,Iowa,1113,80,90,101,110
35,Louisiana,4931,188,180,156,118
36,Ohio,4129,14,166,163,161
37,Michigan,6748,85,53,49,42
38,South Dakota,167,8,12,12,12
39,Arkansas,784,113,119,119,120
40,Delaware,604,3,4,4,5
41,Mississippi,2441,206,191,187,172
42,New Mexico,770,23,23,20,17
43,North Dakota,142,7,9,10,10
44,Wyoming,37,1,2,2,1
45,Alaska,37,5,6,6,6
46,Maine,132,1,2,3,3
47,Alabama,2162,146,162,154,144
48,Idaho,359,60,79,83,77
49,Montana,104,13,18,18,18
50,Puerto Rico,434,NaN,NaN,NaN,NaN
51,Virgin Islands,14,NaN,NaN,NaN,NaN
52,Guam,10,NaN,NaN,NaN,NaN
53,West Virginia,214,39,51,55,58
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
