,State,180,185,192,199,206
0,Washington,1453,135,149,137,120
1,Illinois,7494,37,35,35,34
2,California,7770,402,540,570,565
3,Arizona,2784,597,385,385,384
4,Massachusetts,8433,126,115,106,0
5,Wisconsin,846,0,0,NaN,31
6,Texas,4796,41,25,22,20
7,Nebraska,313,15,2,0,0
8,Utah,247,0,0,0,0
9,Oregon,262,22,24,21,17
10,Florida,5072,645,302,119,5
11,New York,32527,0,0,0,0
12,Rhode Island,995,97,94,88,95
13,Georgia,3177,147,282,326,325
14,New Hampshire,398,0,0,0,0
15,North Carolina,1677,63,62,61,0
16,New Jersey,15715,766,1441,1792,1862
17,Colorado,1758,182,189,177,165
18,Maryland,3382,323,287,250,208
19,Nevada,648,0,0,0,28
20,Tennessee,847,9,8,54,54
21,Hawaii,24,0,0,1,1
22,Indiana,2825,55,54,54,54
23,Kentucky,671,62,59,52,5
24,Minnesota,1585,NaN,NaN,NaN,NaN
25,Oklahoma,452,8,8,7,7
26,Pennsylvania,7025,119,115,112,109
27,South Carolina,1164,84,83,82,82
28,District of Columbia,579,0,0,0,0
29,Kansas,312,12,12,13,16
30,Missouri,1138,52,46,46,46
31,Vermont,56,0,0,0,0
32,Virginia,2031,71,58,54,53
33,Connecticut,4406,19,18,18,17
34,Iowa,798,0,0,0,5
35,Louisiana,3574,0,402,406,353
36,Ohio,3189,279,255,229,198
37,Michigan,6373,39,38,38,37
38,South Dakota,118,9,11,9,7
39,Arkansas,363,NaN,NaN,NaN,NaN
40,Delaware,523,0,0,0,0
41,Mississippi,1358,4,1,1,0
42,New Mexico,578,40,35,33,30
43,North Dakota,93,4,0,0,0
44,Wyoming,24,0,0,0,0
45,Alaska,18,0,0,0,0
46,Maine,117,2,6,8,7
47,Alabama,1291,119,34,23,9
48,Idaho,122,2,2,2,0
49,Montana,39,0,0,0,0
50,Puerto Rico,180,NaN,NaN,NaN,NaN
51,Virgin Islands,6,NaN,NaN,NaN,NaN
52,Guam,5,NaN,NaN,NaN,NaN
53,West Virginia,100,1,1,0,0
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
