,State,207,213,220,227,234,241,248,255,262
0,Washington,1781,121,148,164,155,140,129,121,115
1,Illinois,7955,92,105,125,121,88,63,53,49
2,California,11243,985,1003,970,897,815,750,705,674
3,Arizona,4506,292,237,196,165,142,126,113,104
4,Massachusetts,8838,140,133,116,98,86,77,72,69
5,Wisconsin,1039,34,28,25,23,21,20,19,19
6,Texas,10396,1508,2405,3264,3215,2670,2238,1948,1748
7,Nebraska,361,8,5,4,3,3,2,2,2
8,Utah,363,22,20,19,18,17,16,16,16
9,Oregon,388,23,22,20,18,17,15,14,13
10,Florida,9452,1035,1033,981,884,775,687,628,590
11,New York,32816,104,100,88,76,66,60,57,54
12,Rhode Island,1021,1,1,0,0,0,0,0,0
13,Georgia,4702,258,253,260,258,236,213,197,185
14,New Hampshire,423,2,1,1,1,1,1,1,1
15,North Carolina,2347,111,93,81,72,67,63,60,58
16,New Jersey,15912,32,26,22,19,17,16,15,14
17,Colorado,1896,21,19,17,16,15,15,14,14
18,Maryland,3639,51,46,42,39,37,35,34,32
19,Nevada,1072,123,115,105,94,84,75,67,61
20,Tennessee,1366,92,82,68,56,48,43,39,36
21,Hawaii,40,4,3,3,3,2,2,2,1
22,Indiana,3133,78,77,75,72,68,64,60,58
23,Kentucky,810,31,27,22,19,17,15,14,13
24,Minnesota,1752,28,25,21,19,17,16,15,14
25,Oklahoma,661,47,42,38,36,35,33,33,32
26,Pennsylvania,7453,88,94,111,119,108,96,88,82
27,South Carolina,2269,133,105,89,78,71,65,61,57
28,District of Columbia,597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,Kansas,406,15,13,11,9,8,8,7,7
30,Missouri,1383,31,29,26,25,24,23,23,22
31,Vermont,58,0,0,0,0,0,0,0,0
32,Virginia,2381,66,58,53,48,44,41,39,37
33,Connecticut,4453,6,6,5,4,4,3,3,3
34,Iowa,975,32,27,23,21,19,18,17,16
35,Louisiana,4507,152,133,117,103,93,85,79,75
36,Ohio,3826,122,103,91,83,77,73,70,67
37,Michigan,6592,66,63,56,49,44,40,37,35
38,South Dakota,153,5,4,4,3,3,3,3,3
39,Arkansas,599,30,24,19,16,14,13,12,12
40,Delaware,593,0,0,0,0,0,0,0,0
41,Mississippi,2084,126,108,91,78,68,60,55,51
42,New Mexico,714,12,9,8,7,6,6,5,5
43,North Dakota,125,6,5,4,3,3,2,2,2
44,Wyoming,30,0,0,0,0,0,0,0,0
45,Alaska,28,1,1,1,1,1,1,1,0
46,Maine,127,0,0,0,0,0,0,0,0
47,Alabama,1898,87,72,61,54,49,46,44,42
48,Idaho,269,21,18,16,14,13,13,12,12
49,Montana,82,7,5,4,3,2,2,1,1
50,Puerto Rico,335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,5,0,0,0,0,0,0,0,0
53,West Virginia,160,15,15,14,11,9,7,6,6
54,Northern Mariana Islands,2,0,0,0,0,0,0,0,0
55,American Samoa,0,0,0,0,0,0,0,0,0
