,State,291,297,304,311,318,325,332,339,346,353,360,367,374,381,388
0,Washington,2439,69,89,117,142,184,225,272,333,384,443,493,522,545,536
1,Illinois,10488,500,689,895,1088,1322,1414,1443,1336,1090,843,583,382,243,146
2,California,17961,332,391,445,501,567,627,688,749,798,841,872,889,892,879
3,Arizona,6147,203,261,330,405,504,596,700,798,865,918,916,876,802,690
4,Massachusetts,10129,166,216,258,282,297,298,287,265,235,201,166,134,106,83
5,Wisconsin,2301,322,411,471,446,361,257,166,101,59,34,19,11,6,3
6,Texas,19146,736,877,1013,1155,1272,1377,1445,1470,1452,1388,1287,1158,1013,866
7,Nebraska,703,40,53,68,75,89,87,82,73,54,41,28,18,12,7
8,Utah,658,44,53,64,66,66,62,54,45,36,28,21,15,11,8
9,Oregon,729,40,56,74,90,118,146,175,211,243,270,293,302,300,286
10,Florida,17100,355,433,484,490,474,439,391,335,279,226,179,140,107,82
11,New York,33680,121,150,181,214,260,302,354,408,459,514,558,596,620,626
12,Rhode Island,1224,27,30,28,22,16,12,8,6,4,3,2,1,1,1
13,Georgia,8193,223,235,242,243,238,229,215,198,180,160,141,122,105,89
14,New Hampshire,489,6,8,10,13,16,20,24,28,32,37,41,43,45,45
15,North Carolina,4605,259,287,311,326,345,354,358,359,350,338,321,299,276,251
16,New Jersey,16425,86,112,136,150,160,162,156,143,126,106,87,69,54,41
17,Colorado,2389,119,175,227,264,278,264,226,178,130,90,60,39,25,16
18,Maryland,4201,63,79,96,110,132,151,169,190,204,216,223,223,218,207
19,Nevada,1850,56,69,84,96,114,126,136,145,143,140,128,113,97,79
20,Tennessee,3590,252,250,246,228,206,181,154,129,106,85,68,53,42,32
21,Hawaii,220,4,4,5,5,6,6,7,7,7,8,8,8,8,7
22,Indiana,4592,297,390,486,578,694,756,808,811,745,663,539,419,314,222
23,Kentucky,1561,90,108,119,117,108,93,77,60,45,33,24,17,12,8
24,Minnesota,2679,194,291,395,481,594,643,638,592,489,380,278,192,130,85
25,Oklahoma,1429,94,98,110,123,126,120,105,86,67,50,36,25,17,12
26,Pennsylvania,9001,229,290,340,370,389,394,383,359,325,284,242,201,163,130
27,South Carolina,4015,85,91,95,93,88,80,71,61,51,42,33,26,21,16
28,District of Columbia,654,8,10,11,13,15,16,18,20,21,22,23,23,23,22
29,Kansas,1098,77,107,141,164,204,222,229,229,202,173,139,103,76,54
30,Missouri,3162,207,253,333,389,403,369,301,224,154,101,64,39,24,14
31,Vermont,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Virginia,3704,64,72,53,2,0,0,0,0,0,0,0,0,0,0
33,Connecticut,4671,57,75,89,104,117,133,146,157,165,169,169,164,155,143
34,Iowa,1842,129,192,249,269,286,263,215,168,119,80,53,34,21,13
35,Louisiana,6016,85,83,81,79,76,73,70,66,63,59,56,52,49,46
36,Ohio,5506,181,242,309,383,488,570,671,751,784,804,751,671,568,447
37,Michigan,7945,288,416,538,643,766,844,868,846,773,667,552,439,338,255
38,South Dakota,523,110,135,145,124,91,58,34,19,10,5,3,1,1,0
39,Arkansas,2068,143,157,180,186,181,170,152,130,108,87,69,53,41,31
40,Delaware,716,12,14,16,18,20,22,23,25,25,26,25,24,23,21
41,Mississippi,3433,77,72,67,61,55,49,42,36,31,26,22,18,15,12
42,New Mexico,1104,84,100,115,117,111,97,80,62,46,33,23,16,11,7
43,North Dakota,628,99,127,148,101,43,14,4,1,0,0,0,0,0,0
44,Wyoming,114,32,39,40,36,29,22,15,10,7,4,3,2,1,1
45,Alaska,84,5,7,8,8,7,6,5,3,2,2,1,1,0,0
46,Maine,151,4,7,11,17,30,44,72,106,145,191,208,200,161,105
47,Alabama,3082,138,152,161,168,169,166,159,149,135,121,106,91,77,65
48,Idaho,683,57,63,71,74,76,74,69,62,54,45,37,29,23,17
49,Montana,445,63,73,79,72,57,41,26,16,9,5,3,2,1,1
50,Puerto Rico,862,41,48,47,42,37,31,26,22,17,14,11,9,7,5
51,"Virgin Islands, U.S.",23,0,1,1,0,0,0,0,0,0,0,0,0,0,0
52,Guam,88,8,7,5,3,2,1,1,0,0,0,0,0,0,0
53,West Virginia,503,52,67,78,82,83,80,75,67,58,49,40,32,26,20
54,Northern Mariana Islands,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
