,State,193,199,206,213,220,227,234,241,248,255,262,269,276,283,290
0,Washington,1596,134,103,90,81,74,68,64,61,59,57,55,54,53,52
1,Illinois,7714,129,131,131,129,125,120,115,108,102,96,89,83,78,73
2,California,9396,1110,963,893,828,767,709,656,608,563,523,488,456,427,403
3,Arizona,3765,461,325,269,221,182,150,123,101,83,67,54,44,34,26
4,Massachusetts,8638,137,114,101,91,83,77,72,67,64,61,58,56,53,52
5,Wisconsin,948,68,50,43,38,34,31,29,28,26,25,25,24,24,23
6,Texas,7581,2270,1857,1593,1390,1235,1115,1021,948,889,841,802,770,742,720
7,Nebraska,332,15,13,12,10,10,9,9,8,8,8,8,8,8,8
8,Utah,311,42,34,31,28,26,24,22,21,19,18,17,16,15,14
9,Oregon,326,43,36,30,26,23,21,19,18,17,16,15,15,14,14
10,Florida,7084,1479,1239,1097,976,873,787,716,655,605,562,525,494,467,444
11,New York,32697,74,48,38,31,26,22,19,17,16,14,14,13,12,12
12,Rhode Island,1007,5,5,6,6,6,6,5,5,4,4,4,3,3,3
13,Georgia,3840,392,286,254,225,198,176,156,139,124,112,101,92,84,78
14,New Hampshire,417,7,6,7,7,7,6,6,6,5,5,4,4,4,3
15,North Carolina,1983,200,148,132,118,106,96,87,78,71,65,59,54,50,46
16,New Jersey,15836,64,51,49,45,41,37,34,30,28,25,23,21,19,17
17,Colorado,1844,56,46,40,36,33,30,27,25,23,21,20,19,17,16
18,Maryland,3515,87,73,70,68,67,66,65,65,64,62,61,59,57,55
19,Nevada,832,99,85,71,61,53,46,41,38,34,32,30,28,27,26
20,Tennessee,1073,100,82,76,70,63,57,52,46,41,37,33,29,26,23
21,Hawaii,26,0,0,0,0,0,0,0,1,1,1,1,1,1,1
22,Indiana,2975,80,69,63,57,53,49,45,42,39,36,34,31,29,27
23,Kentucky,742,53,50,47,44,41,38,36,33,31,29,27,26,24,23
24,Minnesota,1654,42,36,35,33,32,31,30,29,29,28,28,27,27,26
25,Oklahoma,550,59,44,37,32,28,25,23,21,20,19,18,18,17,17
26,Pennsylvania,7223,105,89,85,80,74,68,63,57,52,47,43,38,35,32
27,South Carolina,1777,288,191,153,123,99,80,64,52,42,34,27,21,16,12
28,District of Columbia,586,3,4,5,5,5,5,4,4,4,4,4,3,3,3
29,Kansas,361,29,26,22,20,17,16,15,14,13,13,12,12,12,11
30,Missouri,1276,95,100,112,123,130,136,138,138,136,132,127,121,114,108
31,Vermont,57,1,1,1,1,1,0,0,1,1,1,1,1,1,1
32,Virginia,2218,202,164,147,134,125,118,114,110,108,106,104,103,103,102
33,Connecticut,4432,20,19,18,16,15,14,13,12,11,10,10,9,9,9
34,Iowa,878,50,42,36,31,27,24,22,20,19,18,17,16,16,15
35,Louisiana,4007,230,206,178,155,136,119,106,95,86,79,73,67,63,59
36,Ohio,3529,251,215,191,171,154,139,127,116,107,99,93,87,82,78
37,Michigan,6457,70,65,61,58,56,53,51,50,48,47,46,45,44,43
38,South Dakota,135,17,13,13,14,15,16,17,17,16,16,15,14,13,12
39,Arkansas,464,65,55,48,42,37,34,31,29,27,26,25,24,23,22
40,Delaware,585,5,5,5,5,5,5,5,5,4,4,4,4,4,3
41,Mississippi,1703,260,223,198,178,161,146,135,125,116,109,102,97,92,89
42,New Mexico,654,52,40,36,33,30,28,25,23,21,20,18,17,16,15
43,North Dakota,105,2,2,4,5,5,6,6,7,7,7,7,7,6,6
44,Wyoming,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Alaska,24,5,4,4,4,4,4,4,4,4,4,4,4,4,4
46,Maine,123,4,4,3,3,2,2,2,2,2,2,2,2,2,2
47,Alabama,1627,159,129,130,130,129,126,122,116,109,102,94,86,79,72
48,Idaho,197,62,49,41,35,31,28,26,24,23,22,22,21,21,20
49,Montana,61,16,12,9,7,5,4,3,2,2,2,1,1,1,1
50,Puerto Rico,230,29,25,27,29,30,30,30,30,29,28,27,25,24,22
51,Virgin Islands,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,West Virginia,117,14,15,13,12,10,10,9,9,8,8,8,7,7,7
54,Northern Mariana Islands,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
