,State,228,234,241,248,255
0,Washington,1953,47,49,46,52
1,Illinois,8390,170,169,158,150
2,California,13731,810,824,806,807
3,Arizona,5221,198,195,206,206
4,Massachusetts,9125,78,81,85,82
5,Wisconsin,1168,50,50,50,47
6,Texas,13654,998,935,946,939
7,Nebraska,404,12,12,12,11
8,Utah,422,13,13,15,14
9,Oregon,481,25,27,27,27
10,Florida,11849,698,722,728,748
11,New York,32987,97,93,97,103
12,Rhode Island,1055,9,9,8,7
13,Georgia,6037,399,403,388,349
14,New Hampshire,433,0,0,0,0
15,North Carolina,2890,205,195,202,213
16,New Jersey,15989,50,66,78,50
17,Colorado,1972,26,24,22,21
18,Maryland,3799,47,50,49,46
19,Nevada,1389,86,86,86,85
20,Tennessee,1865,133,128,135,134
21,Hawaii,85,22,21,22,21
22,Indiana,3364,71,69,77,74
23,Kentucky,996,73,73,75,81
24,Minnesota,1909,36,39,49,34
25,Oklahoma,853,52,56,51,50
26,Pennsylvania,7750,87,98,89,90
27,South Carolina,2887,178,177,178,177
28,District of Columbia,611,5,6,4,5
29,Kansas,481,31,32,32,32
30,Missouri,1685,139,146,143,146
31,Vermont,58,0,0,0,0
32,Virginia,2678,101,111,116,111
33,Connecticut,4468,3,1,1,1
34,Iowa,1167,65,64,63,62
35,Louisiana,5093,137,148,158,164
36,Ohio,4259,17,57,58,54
37,Michigan,6806,98,94,92,94
38,South Dakota,173,6,6,5,7
39,Arkansas,894,113,113,112,112
40,Delaware,609,3,2,2,2
41,Mississippi,2584,139,130,129,133
42,New Mexico,803,31,32,32,31
43,North Dakota,156,14,14,15,14
44,Wyoming,42,4,3,3,3
45,Alaska,42,4,4,4,5
46,Maine,134,2,1,1,2
47,Alabama,2276,126,126,125,129
48,Idaho,385,28,29,28,26
49,Montana,117,12,11,11,10
50,Puerto Rico,477,34,36,34,35
51,Virgin Islands,17,1,2,1,1
52,Guam,14,3,3,4,3
53,West Virginia,249,30,28,29,32
54,Northern Mariana Islands,2,0,0,0,0
55,American Samoa,0,0,0,0,0
