,State,383,388,395,402,409
0,Washington,4451,163,156,141,134
1,Illinois,21779,457,402,346,306
2,California,44494,2983,2576,2294,2075
3,Arizona,14055,861,731,653,581
4,Massachusetts,15054,390,359,320,296
5,Wisconsin,6614,179,160,137,129
6,Texas,39482,2124,1981,1871,1816
7,Nebraska,1968,41,40,34,31
8,Utah,1738,68,62,56,50
9,Oregon,2024,69,63,59,57
10,Florida,27815,1126,1070,962,929
11,New York,44969,1183,1105,1015,868
12,Rhode Island,2236,58,51,47,42
13,Georgia,15130,779,719,624,577
14,New Hampshire,1106,54,50,45,39
15,North Carolina,9991,613,597,558,531
16,New Jersey,22011,478,446,419,376
17,Colorado,5733,108,100,98,96
18,Maryland,7372,222,208,185,167
19,Nevada,4522,216,188,169,143
20,Tennessee,10566,655,610,573,529
21,Hawaii,417,13,13,11,11
22,Indiana,11875,331,271,244,207
23,Kentucky,4091,288,275,257,236
24,Minnesota,6370,103,92,83,87
25,Oklahoma,3817,252,240,228,212
26,Pennsylvania,22443,821,754,696,628
27,South Carolina,7690,512,478,453,414
28,District of Columbia,956,31,28,25,23
29,Kansas,4167,186,167,143,137
30,Missouri,7452,251,224,208,185
31,Vermont,183,8,9,8,9
32,Virginia,6820,338,328,314,313
33,Connecticut,7282,170,164,151,139
34,Iowa,5110,185,176,175,156
35,Louisiana,9142,262,240,222,196
36,Ohio,11695,434,399,379,352
37,Michigan,15863,317,277,238,207
38,South Dakota,1809,34,27,22,18
39,Arkansas,5106,219,200,181,171
40,Delaware,1208,56,50,43,37
41,Mississippi,6270,227,212,181,148
42,New Mexico,3412,120,105,90,77
43,North Dakota,1454,12,10,9,7
44,Wyoming,624,26,24,20,17
45,Alaska,279,9,8,7,7
46,Maine,636,40,36,32,29
47,Alabama,8523,837,785,621,564
48,Idaho,1776,42,38,31,28
49,Montana,1314,57,54,45,44
50,Puerto Rico,1888,50,44,37,33
51,Virgin Islands,24,0,0,0,0
52,Guam,130,1,0,0,0
53,West Virginia,2131,101,90,77,65
54,Northern Mariana Islands,2,0,0,0,0
55,American Samoa,0,0,0,0,0
