,State,383,388,395,402,409
0,Washington,4451,171,160,143,128
1,Illinois,21779,456,392,336,288
2,California,44494,2883,2370,1928,1591
3,Arizona,14055,771,643,526,444
4,Massachusetts,15054,384,327,284,249
5,Wisconsin,6614,173,146,127,110
6,Texas,39482,2155,1992,1833,1684
7,Nebraska,1968,42,38,34,30
8,Utah,1738,66,55,45,38
9,Oregon,2024,74,66,56,51
10,Florida,27815,1137,1023,912,814
11,New York,44969,1164,1065,972,854
12,Rhode Island,2236,56,50,45,41
13,Georgia,15130,823,723,627,547
14,New Hampshire,1106,53,48,41,37
15,North Carolina,9991,622,570,511,466
16,New Jersey,22011,463,422,382,339
17,Colorado,5733,107,101,94,87
18,Maryland,7372,215,191,171,151
19,Nevada,4522,193,158,132,111
20,Tennessee,10566,559,493,420,364
21,Hawaii,417,17,16,14,13
22,Indiana,11875,297,261,216,190
23,Kentucky,4091,272,261,237,216
24,Minnesota,6370,103,89,78,71
25,Oklahoma,3817,244,215,187,165
26,Pennsylvania,22443,861,755,654,567
27,South Carolina,7690,460,428,390,354
28,District of Columbia,956,28,24,21,20
29,Kansas,4167,193,176,162,147
30,Missouri,7452,257,223,204,173
31,Vermont,183,9,9,10,10
32,Virginia,6820,340,323,300,281
33,Connecticut,7282,174,159,148,133
34,Iowa,5110,137,128,116,99
35,Louisiana,9142,249,216,189,158
36,Ohio,11695,425,381,333,291
37,Michigan,15863,310,274,235,206
38,South Dakota,1809,32,26,20,17
39,Arkansas,5106,208,183,157,135
40,Delaware,1208,46,34,30,29
41,Mississippi,6270,220,191,161,136
42,New Mexico,3412,115,97,80,68
43,North Dakota,1454,12,9,8,7
44,Wyoming,624,26,22,19,17
45,Alaska,279,7,7,6,6
46,Maine,636,48,42,36,32
47,Alabama,8523,674,607,526,449
48,Idaho,1776,40,33,27,23
49,Montana,1314,52,46,40,36
50,Puerto Rico,1888,51,44,38,34
51,Virgin Islands,24,0,0,0,0
52,Guam,130,0,0,0,0
53,West Virginia,2131,110,90,75,61
54,Northern Mariana Islands,2,0,0,0,0
55,American Samoa,0,0,0,0,0
