,State,319,325,332,339,346
0,Washington,2925,142,136,129,122
1,Illinois,14116,799,787,811,868
2,California,19928,1110,1367,1678,2054
3,Arizona,6950,275,312,351,380
4,Massachusetts,11004,291,384,518,642
5,Wisconsin,3952,324,261,209,177
6,Texas,23137,808,977,1298,1754
7,Nebraska,1205,119,117,110,111
8,Utah,939,73,84,102,128
9,Oregon,1033,95,108,118,134
10,Florida,19177,722,768,805,857
11,New York,34958,404,516,627,756
12,Rhode Island,1413,61,59,50,45
13,Georgia,9806,254,315,401,526
14,New Hampshire,564,35,42,49,59
15,North Carolina,5543,296,334,381,439
16,New Jersey,17321,315,342,377,397
17,Colorado,3356,267,268,274,281
18,Maryland,4846,213,243,280,327
19,Nevada,2315,159,166,155,138
20,Tennessee,4943,313,348,374,400
21,Hawaii,262,7,7,7,7
22,Indiana,6242,477,463,449,438
23,Kentucky,2072,187,203,219,227
24,Minnesota,4043,425,400,367,338
25,Oklahoma,1896,166,158,146,135
26,Pennsylvania,11255,742,864,979,1106
27,South Carolina,4566,138,163,197,250
28,District of Columbia,697,14,20,23,27
29,Kansas,1786,154,140,125,114
30,Missouri,4284,276,255,238,245
31,Vermont,79,0,3,9,18
32,Virginia,4200,144,150,165,175
33,Connecticut,5146,151,180,222,257
34,Iowa,2717,188,143,105,86
35,Louisiana,6584,147,163,180,194
36,Ohio,6959,647,620,565,526
37,Michigan,10321,564,531,490,449
38,South Dakota,1110,61,48,38,28
39,Arkansas,2660,119,125,136,146
40,Delaware,793,45,54,62,67
41,Mississippi,3961,66,85,112,135
42,New Mexico,1749,169,150,130,109
43,North Dakota,1019,60,45,26,18
44,Wyoming,266,28,24,20,16
45,Alaska,143,18,18,21,22
46,Maine,227,7,12,15,21
47,Alabama,3889,177,209,258,305
48,Idaho,1035,68,68,69,76
49,Montana,736,78,70,57,45
50,Puerto Rico,1192,NaN,NaN,NaN,NaN
51,Virgin Islands,23,NaN,NaN,NaN,NaN
52,Guam,113,NaN,NaN,NaN,NaN
53,West Virginia,838,76,78,72,67
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
