,State,375,381,388,395,402
0,Washington,4285,186,173,173,188
1,Illinois,21253,618,487,388,338
2,California,40928,2423,1936,1708,1660
3,Arizona,13120,1043,895,804,773
4,Massachusetts,14577,471,399,378,391
5,Wisconsin,6434,180,132,94,72
6,Texas,37074,2087,1942,2040,2216
7,Nebraska,1920,41,29,28,23
8,Utah,1665,44,40,35,35
9,Oregon,1957,67,57,57,65
10,Florida,26479,976,906,939,1037
11,New York,43634,1318,1200,1164,1200
12,Rhode Island,2154,88,82,69,63
13,Georgia,14198,488,433,402,376
14,New Hampshire,1057,53,48,38,35
15,North Carolina,9335,470,357,267,210
16,New Jersey,21484,631,598,588,584
17,Colorado,5640,126,112,119,136
18,Maryland,7127,251,218,215,234
19,Nevada,4270,200,165,148,147
20,Tennessee,9650,249,191,153,145
21,Hawaii,409,7,7,7,7
22,Indiana,9974,257,195,132,113
23,Kentucky,3745,140,119,99,98
24,Minnesota,6268,109,100,92,94
25,Oklahoma,3547,135,103,94,88
26,Pennsylvania,21617,1001,829,789,808
27,South Carolina,7042,401,348,291,262
28,District of Columbia,913,28,28,33,43
29,Kansas,3767,191,143,96,81
30,Missouri,7041,157,134,128,133
31,Vermont,174,7,1,0,0
32,Virginia,6464,295,270,259,275
33,Connecticut,7046,259,224,218,232
34,Iowa,4901,96,73,65,63
35,Louisiana,8859,245,210,222,250
36,Ohio,11175,346,284,253,251
37,Michigan,15525,417,341,335,371
38,South Dakota,1778,14,13,7,7
39,Arkansas,4868,170,143,116,99
40,Delaware,1090,31,28,28,28
41,Mississippi,6045,176,146,113,92
42,New Mexico,3283,137,108,97,90
43,North Dakota,1447,7,6,0,0
44,Wyoming,596,14,12,7,7
45,Alaska,262,2,0,0,0
46,Maine,590,48,41,29,15
47,Alabama,7688,344,301,279,280
48,Idaho,1725,28,27,21,16
49,Montana,1233,35,31,22,14
50,Puerto Rico,1829,NaN,NaN,NaN,NaN
51,Virgin Islands,24,NaN,NaN,NaN,NaN
52,Guam,129,NaN,NaN,NaN,NaN
53,West Virginia,2024,69,56,38,33
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
