,State,295,304,311,318,325
0,Washington,2507,98,128,156,185
1,Illinois,10846,924,1210,1421,1509
2,California,18135,430,515,633,753
3,Arizona,6240,141,186,246,289
4,Massachusetts,10242,172,222,268,312
5,Wisconsin,2621,424,472,518,536
6,Texas,19760,561,711,934,1138
7,Nebraska,756,105,130,138,141
8,Utah,687,67,80,90,96
9,Oregon,746,52,69,91,111
10,Florida,17372,526,577,622,674
11,New York,33975,163,227,299,371
12,Rhode Island,1250,39,50,59,65
13,Georgia,8881,146,191,252,302
14,New Hampshire,495,12,19,33,47
15,North Carolina,4706,187,207,227,244
16,New Jersey,16495,142,175,211,248
17,Colorado,2468,191,226,247,263
18,Maryland,4261,113,157,208,259
19,Nevada,1880,78,98,120,135
20,Tennessee,3788,208,273,376,469
21,Hawaii,222,7,7,4,2
22,Indiana,4813,362,469,566,626
23,Kentucky,1622,110,140,179,207
24,Minnesota,2849,318,417,505,556
25,Oklahoma,1481,95,138,196,250
26,Pennsylvania,9182,335,442,567,684
27,South Carolina,4084,93,102,114,120
28,District of Columbia,657,8,13,14,17
29,Kansas,1215,121,167,220,259
30,Missouri,3351,270,346,411,447
31,Vermont,59,0,0,0,0
32,Virginia,3758,82,100,124,147
33,Connecticut,4726,84,118,153,185
34,Iowa,1946,223,308,377,404
35,Louisiana,6097,34,39,51,62
36,Ohio,5658,423,556,696,809
37,Michigan,8185,458,579,713,807
38,South Dakota,567,68,66,65,63
39,Arkansas,2144,96,121,140,159
40,Delaware,732,18,30,41,52
41,Mississippi,3514,39,50,60,77
42,New Mexico,1176,96,120,138,157
43,North Dakota,697,84,82,74,67
44,Wyoming,127,20,26,28,30
45,Alaska,96,15,16,20,21
46,Maine,159,5,10,21,36
47,Alabama,3213,119,136,149,163
48,Idaho,749,62,73,88,98
49,Montana,472,64,70,73,78
50,Puerto Rico,909,NaN,NaN,NaN,NaN
51,Virgin Islands,23,NaN,NaN,NaN,NaN
52,Guam,91,NaN,NaN,NaN,NaN
53,West Virginia,555,35,48,71,89
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
