,State,354,360,367,374,381
0,Washington,3698,125,111,76,47
1,Illinois,19293,629,626,624,637
2,California,30004,1708,1840,1982,2173
3,Arizona,10141,756,1022,1290,1445
4,Massachusetts,13151,399,429,551,639
5,Wisconsin,5570,170,152,157,162
6,Texas,30479,1464,1565,1726,2076
7,Nebraska,1760,53,46,33,20
8,Utah,1392,70,58,42,29
9,Oregon,1604,98,84,52,28
10,Florida,22912,601,608,531,478
11,New York,39632,860,882,895,944
12,Rhode Island,1916,61,56,89,118
13,Georgia,11458,220,203,149,58
14,New Hampshire,869,28,26,15,7
15,North Carolina,7567,227,221,148,66
16,New Jersey,19854,396,358,332,324
17,Colorado,5208,122,107,82,92
18,Maryland,6272,237,207,147,87
19,Nevada,3467,179,242,331,423
20,Tennessee,7785,381,304,241,212
21,Hawaii,308,15,16,7,7
22,Indiana,8985,236,204,139,69
23,Kentucky,2901,105,108,55,20
24,Minnesota,5775,126,115,113,136
25,Oklahoma,2761,59,54,34,16
26,Pennsylvania,17717,1137,1016,857,786
27,South Carolina,5811,305,304,299,299
28,District of Columbia,817,24,21,15,10
29,Kansas,3141,163,138,79,34
30,Missouri,6133,229,203,201,167
31,Vermont,156,7,7,5,0
32,Virginia,5383,215,195,119,40
33,Connecticut,6324,175,161,193,184
34,Iowa,4138,77,73,45,13
35,Louisiana,7873,169,157,118,63
36,Ohio,9627,159,151,79,34
37,Michigan,14145,358,339,384,394
38,South Dakota,1585,15,14,8,2
39,Arkansas,4043,262,233,147,81
40,Delaware,972,28,28,22,14
41,Mississippi,5167,253,214,153,44
42,New Mexico,2749,135,121,86,48
43,North Dakota,1352,0,0,0,0
44,Wyoming,489,0,0,0,0
45,Alaska,224,7,7,1,0
46,Maine,432,49,45,29,14
47,Alabama,5334,230,198,186,156
48,Idaho,1534,60,47,31,21
49,Montana,1056,0,0,0,0
50,Puerto Rico,1630,NaN,NaN,NaN,NaN
51,Virgin Islands,24,NaN,NaN,NaN,NaN
52,Guam,124,NaN,NaN,NaN,NaN
53,West Virginia,1582,84,73,41,11
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
