,State,376,381,388,395,402
0,Washington,4318,126,130,113,131
1,Illinois,21273,406,417,521,543
2,California,41402,3331,2754,2307,1750
3,Arizona,13124,723,664,599,597
4,Massachusetts,14607,411,415,439,435
5,Wisconsin,6436,186,114,127,159
6,Texas,37245,1912,1663,1525,1398
7,Nebraska,1920,45,47,55,68
8,Utah,1668,63,55,50,53
9,Oregon,1958,101,38,35,61
10,Florida,26685,1054,936,810,760
11,New York,43805,1014,978,1052,1060
12,Rhode Island,2173,66,74,69,78
13,Georgia,14242,775,639,571,502
14,New Hampshire,1059,46,50,56,53
15,North Carolina,9342,637,632,569,552
16,New Jersey,21513,424,401,416,413
17,Colorado,5641,112,109,114,113
18,Maryland,7154,217,232,227,230
19,Nevada,4278,NaN,NaN,NaN,NaN
20,Tennessee,9753,423,358,335,319
21,Hawaii,409,NaN,NaN,NaN,NaN
22,Indiana,9989,225,249,273,270
23,Kentucky,3780,NaN,NaN,NaN,NaN
24,Minnesota,6270,113,116,119,147
25,Oklahoma,3564,216,194,173,151
26,Pennsylvania,21651,895,839,701,671
27,South Carolina,7283,464,408,381,394
28,District of Columbia,916,28,27,27,25
29,Kansas,3797,162,162,177,180
30,Missouri,7044,175,147,134,137
31,Vermont,175,8,11,15,16
32,Virginia,6474,317,296,309,294
33,Connecticut,7119,162,192,188,189
34,Iowa,4906,104,92,104,123
35,Louisiana,8912,301,295,283,280
36,Ohio,11230,353,323,269,234
37,Michigan,15536,286,264,269,277
38,South Dakota,1778,51,45,38,30
39,Arkansas,4895,195,169,167,120
40,Delaware,1101,31,23,39,39
41,Mississippi,6056,223,204,170,178
42,New Mexico,3295,153,152,155,157
43,North Dakota,1447,14,13,14,13
44,Wyoming,596,26,29,37,42
45,Alaska,262,7,5,6,7
46,Maine,595,33,36,35,41
47,Alabama,7688,640,851,759,735
48,Idaho,1735,46,38,42,40
49,Montana,1234,88,94,108,139
50,Puerto Rico,1836,NaN,NaN,NaN,NaN
51,Virgin Islands,24,NaN,NaN,NaN,NaN
52,Guam,129,NaN,NaN,NaN,NaN
53,West Virginia,2028,109,99,97,91
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
