,State,369,374,381,388,395
0,Washington,4148,113,199,170,148
1,Illinois,20744,646,697,695,596
2,California,37543,3283,3154,2679,2394
3,Arizona,12239,895,980,811,734
4,Massachusetts,14178,504,523,563,578
5,Wisconsin,6199,194,252,225,199
6,Texas,35090,2072,1993,2068,1914
7,Nebraska,1894,59,69,64,66
8,Utah,1597,93,84,103,99
9,Oregon,1882,109,93,129,135
10,Florida,25446,1215,1221,1137,1010
11,New York,42544,1456,1402,1566,1808
12,Rhode Island,2110,67,78,106,112
13,Georgia,13303,908,940,873,778
14,New Hampshire,990,57,54,50,67
15,North Carolina,8720,612,441,449,480
16,New Jersey,20972,488,536,511,605
17,Colorado,5512,204,231,195,179
18,Maryland,6900,294,304,303,286
19,Nevada,4029,267,226,223,205
20,Tennessee,8970,386,348,316,246
21,Hawaii,341,20,12,12,11
22,Indiana,9728,370,402,379,314
23,Kentucky,3460,290,284,275,217
24,Minnesota,6166,170,143,126,121
25,Oklahoma,3293,257,163,186,170
26,Pennsylvania,20593,1069,859,913,811
27,South Carolina,6552,398,304,335,265
28,District of Columbia,879,32,32,32,27
29,Kansas,3613,236,363,339,221
30,Missouri,6786,263,265,244,213
31,Vermont,171,6,8,10,10
32,Virginia,6081,284,408,365,305
33,Connecticut,6911,226,315,319,304
34,Iowa,4488,101,136,131,91
35,Louisiana,8590,319,322,303,276
36,Ohio,10768,448,354,353,326
37,Michigan,15219,538,420,357,346
38,South Dakota,1705,49,32,46,42
39,Arkansas,4650,197,226,187,177
40,Delaware,1049,44,41,42,39
41,Mississippi,5777,271,250,231,218
42,New Mexico,3157,185,127,115,144
43,North Dakota,1436,19,12,15,20
44,Wyoming,571,10,22,17,21
45,Alaska,259,14,16,14,13
46,Maine,547,63,101,114,110
47,Alabama,6662,553,594,482,442
48,Idaho,1681,60,84,80,63
49,Montana,1151,67,25,26,30
50,Puerto Rico,1778,NaN,NaN,NaN,NaN
51,Virgin Islands,24,NaN,NaN,NaN,NaN
52,Guam,129,NaN,NaN,NaN,NaN
53,West Virginia,1899,116,135,107,87
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
