,State,268,276,283,290,297,304,311,318,325,332,339,346,353,360,367,374,381,388,395,402,409
0,Washington,2239,38,40,43,48,56,66,80,99,123,153,187,223,259,290,316,336,348,348,338,319
1,Illinois,9425,242,277,325,387,470,578,707,837,915,917,843,746,656,576,508,455,412,375,342,310
2,California,16910,413,417,437,474,531,613,724,868,1055,1299,1609,1988,2378,2675,2821,2861,2814,2708,2569,2403
3,Arizona,5806,78,77,80,86,97,112,130,152,178,209,243,278,311,333,338,332,319,301,279,254
4,Massachusetts,9702,110,117,128,143,163,190,224,264,310,359,398,413,407,378,339,301,268,240,219,201
5,Wisconsin,1574,127,150,184,228,282,344,404,445,450,432,403,371,342,318,299,282,266,250,235,218
6,Texas,17375,502,515,539,574,622,685,761,855,967,1093,1227,1349,1432,1448,1400,1296,1157,1008,854,724
7,Nebraska,547,37,45,54,66,78,92,105,117,127,130,128,121,112,103,95,88,82,76,71,65
8,Utah,537,50,64,85,116,160,214,258,275,273,264,249,235,222,211,198,185,173,161,150,138
9,Oregon,617,29,32,35,39,43,48,55,64,76,90,107,125,145,164,182,198,212,221,225,226
10,Florida,15830,677,723,778,842,903,958,1001,1025,1023,987,924,839,747,649,559,481,413,356,308,265
11,New York,33337,86,97,113,137,170,218,283,369,485,637,829,1028,1201,1305,1326,1271,1175,1054,922,793
12,Rhode Island,1152,10,10,10,10,10,11,12,13,14,16,18,20,23,26,29,32,35,37,38,37
13,Georgia,7556,185,184,188,197,212,233,259,291,329,373,421,465,499,510,504,485,456,421,380,340
14,New Hampshire,465,9,10,13,18,27,43,67,98,131,164,194,219,238,250,254,252,244,231,215,196
15,North Carolina,3910,140,142,150,164,185,215,254,303,364,436,517,593,645,662,655,631,595,557,516,473
16,New Jersey,16202,20,18,17,16,17,19,21,23,27,31,37,43,51,61,71,84,98,114,131,148
17,Colorado,2172,61,82,109,145,191,245,297,343,380,400,408,401,385,365,342,320,297,275,253,231
18,Maryland,4032,30,31,33,35,39,44,50,58,68,79,93,110,129,149,171,193,216,237,251,257
19,Nevada,1707,41,44,46,49,51,51,53,55,59,64,70,76,83,89,95,100,105,107,107,106
20,Tennessee,2871,253,292,336,370,385,389,380,366,343,316,288,263,241,223,208,195,183,171,159,147
21,Hawaii,185,18,20,22,23,25,27,30,33,37,40,44,47,50,52,52,53,53,52,51,50
22,Indiana,3887,145,176,216,269,337,418,484,504,476,418,362,319,287,260,238,222,207,193,179,166
23,Kentucky,1300,73,89,106,125,145,163,183,201,218,231,236,232,221,202,177,154,133,113,97,83
24,Minnesota,2265,82,93,108,126,149,178,212,253,297,336,355,340,297,242,193,155,127,106,90,77
25,Oklahoma,1154,46,46,49,53,58,66,76,88,104,124,146,171,191,201,197,186,170,151,130,112
26,Pennsylvania,8434,147,169,198,234,280,338,413,508,617,725,801,841,834,793,728,667,612,562,514,469
27,South Carolina,3615,114,120,128,137,146,156,168,182,197,212,225,232,232,226,215,200,183,165,147,129
28,District of Columbia,641,6,7,8,10,12,15,19,24,29,34,38,41,41,40,38,35,32,29,26,22
29,Kansas,857,111,145,184,195,190,179,169,163,157,153,149,146,143,138,132,126,121,115,108,101
30,Missouri,2477,85,81,83,92,109,136,170,210,252,286,310,325,329,319,301,281,260,240,220,201
31,Vermont,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
32,Virginia,3408,70,69,73,82,99,126,163,210,271,345,431,510,573,604,607,595,574,545,511,473
33,Connecticut,4542,14,15,17,19,22,27,34,42,53,67,85,108,134,160,181,198,208,209,202,190
34,Iowa,1524,81,90,103,120,141,162,183,198,205,203,195,184,173,163,154,147,141,135,129,122
35,Louisiana,5727,93,100,108,119,133,150,170,194,220,245,262,268,258,232,203,176,151,130,112,97
36,Ohio,5054,127,137,149,166,188,216,250,292,343,406,479,559,638,684,680,636,576,509,441,378
37,Michigan,7317,97,108,124,147,179,225,284,358,445,539,613,641,623,570,497,426,363,313,269,233
38,South Dakota,307,49,61,71,58,51,45,41,37,34,33,31,30,30,29,29,29,29,28,28,27
39,Arkansas,1665,142,157,175,179,180,178,169,156,140,128,118,112,108,104,101,99,97,94,91,88
40,Delaware,662,11,12,13,15,18,21,25,31,36,43,48,52,53,51,46,42,37,33,29,25
41,Mississippi,3160,65,64,66,69,74,82,91,103,115,128,139,145,146,142,135,127,117,105,94,83
42,New Mexico,928,20,21,24,27,31,37,44,53,64,79,97,118,138,150,151,146,137,127,116,105
43,North Dakota,388,71,82,90,66,56,49,44,40,37,36,34,34,33,33,33,32,32,32,30,29
44,Wyoming,57,2,2,2,2,2,3,3,4,4,5,7,8,10,13,15,18,20,21,21,21
45,Alaska,66,2,3,3,3,4,5,6,7,8,10,12,13,15,16,17,18,18,17,16,15
46,Maine,145,1,1,1,1,1,1,1,2,2,2,3,3,4,5,6,7,8,9,11,13
