,State,292,297,304,311,318,325,332,339,346
0,Washington,2460,83,91,96,97,93,85,75,63
1,Illinois,10563,470,563,634,672,677,660,638,624
2,California,18021,348,371,386,384,365,332,289,244
3,Arizona,6164,133,151,164,170,170,166,158,149
4,Massachusetts,10163,186,215,237,246,242,229,210,190
5,Wisconsin,2595,357,420,472,505,516,515,513,521
6,Texas,19217,660,722,766,779,760,716,658,597
7,Nebraska,710,71,84,95,100,99,95,90,87
8,Utah,661,41,47,51,53,53,50,48,46
9,Oregon,734,42,48,52,54,52,47,40,33
10,Florida,17179,538,589,627,647,649,640,625,612
11,New York,33923,100,110,117,119,114,104,91,77
12,Rhode Island,1233,32,38,44,48,53,58,62,64
13,Georgia,8677,204,210,217,224,236,254,279,309
14,New Hampshire,489,12,14,16,17,17,17,16,15
15,North Carolina,4615,246,263,279,290,295,292,284,273
16,New Jersey,16440,96,113,125,130,128,121,111,100
17,Colorado,2408,107,133,154,167,169,164,155,147
18,Maryland,4221,68,75,79,80,77,70,62,52
19,Nevada,1852,54,60,65,67,66,62,56,50
20,Tennessee,3610,271,291,313,341,373,403,424,428
21,Hawaii,221,11,11,11,11,10,9,8,7
22,Indiana,4664,340,404,454,478,473,447,411,376
23,Kentucky,1576,105,121,133,140,140,133,122,111
24,Minnesota,2729,205,247,277,288,277,252,222,194
25,Oklahoma,1444,105,112,119,124,127,127,126,124
26,Pennsylvania,9008,242,278,308,327,333,329,317,302
27,South Carolina,4041,99,103,106,108,109,108,107,106
28,District of Columbia,655,3,4,4,4,4,4,4,3
29,Kansas,1181,106,122,132,132,123,107,90,74
30,Missouri,3165,305,341,368,378,370,350,324,298
31,Vermont,59,0,0,0,0,0,0,0,0
32,Virginia,3713,65,70,74,76,77,75,73,69
33,Connecticut,4698,62,75,86,96,105,113,121,129
34,Iowa,1872,148,178,198,201,188,166,143,125
35,Louisiana,6048,108,109,112,119,132,152,178,203
36,Ohio,5524,183,215,241,259,265,263,255,246
37,Michigan,8008,295,364,418,445,442,415,377,337
38,South Dakota,537,100,117,126,126,117,104,93,89
39,Arkansas,2108,155,166,174,178,175,167,157,147
40,Delaware,719,20,22,23,23,23,21,19,16
41,Mississippi,3443,81,85,89,95,102,110,117,122
42,New Mexico,1130,78,94,107,117,123,125,125,125
43,North Dakota,644,112,132,140,135,119,100,85,79
44,Wyoming,114,21,26,30,32,30,28,25,22
45,Alaska,84,2,3,3,4,3,3,3,2
46,Maine,153,1,1,2,2,2,1,1,1
47,Alabama,3084,117,124,130,132,132,130,125,121
48,Idaho,698,57,64,70,74,76,76,74,74
49,Montana,457,100,118,134,145,150,148,145,144
50,Puerto Rico,882,25,27,27,27,25,23,20,16
51,Virgin Islands,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,90,8,9,11,12,13,14,14,14
53,West Virginia,530,44,51,57,60,59,55,49,43
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
