,State,257,262,269,276,283,290,297
0,Washington,2158,61,60,60,58,57,56
1,Illinois,9054,174,200,214,205,189,174
2,California,16171,548,479,411,367,337,313
3,Arizona,5707,145,126,106,93,84,77
4,Massachusetts,9530,177,164,148,135,124,115
5,Wisconsin,1381,83,97,107,108,104,100
6,Texas,16437,805,720,632,581,546,518
7,Nebraska,503,36,33,30,29,28,28
8,Utah,482,16,22,25,23,20,17
9,Oregon,572,26,24,24,24,24,25
10,Florida,14712,586,516,439,387,349,318
11,New York,33214,58,106,134,131,119,106
12,Rhode Island,1121,26,24,22,20,18,17
13,Georgia,7192,214,190,164,146,135,126
14,New Hampshire,443,1,3,4,5,4,4
15,North Carolina,3637,187,169,152,143,138,134
16,New Jersey,16138,68,103,123,118,106,93
17,Colorado,2069,47,61,70,67,62,56
18,Maryland,3961,47,55,58,55,50,45
19,Nevada,1623,86,75,65,59,54,51
20,Tennessee,2597,136,121,109,105,102,100
21,Hawaii,157,9,8,7,6,6,6
22,Indiana,3681,91,104,111,108,101,94
23,Kentucky,1214,61,59,56,54,52,50
24,Minnesota,2136,77,83,87,86,82,78
25,Oklahoma,1055,62,57,52,51,50,50
26,Pennsylvania,8207,177,181,181,176,171,165
27,South Carolina,3456,85,77,70,67,64,62
28,District of Columbia,631,3,4,5,5,4,4
29,Kansas,698,56,51,48,47,48,48
30,Missouri,2188,166,154,145,142,142,144
31,Vermont,58,0,0,0,0,0,0
32,Virginia,3276,118,110,106,110,114,120
33,Connecticut,4517,19,34,44,44,39,34
34,Iowa,1398,71,66,62,59,58,56
35,Louisiana,5586,85,77,69,62,57,53
36,Ohio,4931,147,140,134,128,124,120
37,Michigan,7139,92,135,164,168,161,151
38,South Dakota,248,29,28,28,29,31,33
39,Arkansas,1447,151,136,121,113,108,105
40,Delaware,645,11,12,12,11,10,9
41,Mississippi,3013,117,106,95,88,83,80
42,New Mexico,894,51,47,43,41,40,40
43,North Dakota,277,25,24,23,24,26,27
44,Wyoming,53,3,3,3,4,4,5
45,Alaska,58,9,8,8,8,8,8
46,Maine,142,2,2,2,2,2,2
47,Alabama,2559,65,59,54,49,45,41
48,Idaho,487,41,38,36,36,36,37
49,Montana,190,49,48,50,56,64,70
50,Puerto Rico,695,78,70,62,59,58,57
51,Virgin Islands,20,0,0,0,0,0,0
52,Guam,54,9,7,6,5,5,5
53,West Virginia,367,29,28,29,31,35,39
54,Northern Mariana Islands,2,0,0,0,0,0,0
55,American Samoa,0,0,0,0,0,0,0
