,State,340,346,353,360,367
0,Washington,3184,140,146,160,167
1,Illinois,17336,964,825,696,664
2,California,24282,1446,1209,1137,1104
3,Arizona,8427,760,787,832,827
4,Massachusetts,12110,416,455,439,434
5,Wisconsin,5039,408,423,396,311
6,Texas,26966,1380,1380,1358,1356
7,Nebraska,1559,106,99,95,98
8,Utah,1214,106,109,113,123
9,Oregon,1427,142,133,125,120
10,Florida,21212,722,699,697,693
11,New York,37411,993,1104,1203,1228
12,Rhode Island,1704,106,99,96,100
13,Georgia,10689,376,480,547,588
14,New Hampshire,708,64,65,65,67
15,North Carolina,6549,408,469,497,519
16,New Jersey,18630,449,442,437,438
17,Colorado,4610,400,429,407,335
18,Maryland,5712,317,311,313,320
19,Nevada,2950,259,265,265,260
20,Tennessee,6512,645,648,640,631
21,Hawaii,285,11,14,18,17
22,Indiana,7843,536,501,457,453
23,Kentucky,2555,223,236,243,234
24,Minnesota,5206,403,406,313,241
25,Oklahoma,2370,193,229,271,314
26,Pennsylvania,14969,1338,1257,1116,965
27,South Carolina,5155,253,307,334,332
28,District of Columbia,768,31,29,27,24
29,Kansas,2503,260,247,214,184
30,Missouri,5471,447,405,356,334
31,Vermont,127,13,13,14,14
32,Virginia,4854,304,391,443,456
33,Connecticut,5791,263,264,237,205
34,Iowa,3744,261,247,209,171
35,Louisiana,7291,278,285,275,266
36,Ohio,8509,574,559,547,549
37,Michigan,12690,742,620,569,456
38,South Dakota,1446,97,98,92,93
39,Arkansas,3482,286,272,274,275
40,Delaware,897,57,62,62,63
41,Mississippi,4606,241,241,236,237
42,New Mexico,2346,181,170,159,140
43,North Dakota,1266,59,61,54,46
44,Wyoming,373,31,26,22,20
45,Alaska,200,16,18,17,17
46,Maine,323,51,57,62,67
47,Alabama,4691,436,445,414,445
48,Idaho,1354,118,113,105,104
49,Montana,924,65,63,62,63
50,Puerto Rico,1445,99,98,96,98
51,Virgin Islands,23,1,2,1,1
52,Guam,121,3,2,1,1
53,West Virginia,1254,156,152,150,145
54,Northern Mariana Islands,2,0,0,0,0
55,American Samoa,0,0,0,0,0
