,State,375,381,388,395,402
0,Washington,4285,152,173,169,165
1,Illinois,21253,407,350,315,266
2,California,40928,3158,3191,3233,3115
3,Arizona,13120,772,728,681,606
4,Massachusetts,14577,416,404,381,344
5,Wisconsin,6434,195,185,164,144
6,Texas,37074,2058,2095,2034,1961
7,Nebraska,1920,32,33,31,29
8,Utah,1665,59,59,54,48
9,Oregon,1957,62,69,64,60
10,Florida,26479,1127,1093,1046,994
11,New York,43634,1197,1145,1088,1001
12,Rhode Island,2154,59,58,54,49
13,Georgia,14198,966,1068,1164,1212
14,New Hampshire,1057,63,51,51,49
15,North Carolina,9335,610,646,641,628
16,New Jersey,21484,502,493,463,424
17,Colorado,5640,124,114,101,90
18,Maryland,7127,225,217,204,188
19,Nevada,4270,234,251,254,248
20,Tennessee,9650,653,533,460,388
21,Hawaii,409,12,8,8,7
22,Indiana,9974,208,197,173,148
23,Kentucky,3745,309,313,321,323
24,Minnesota,6268,99,95,85,74
25,Oklahoma,3547,249,229,218,203
26,Pennsylvania,21617,1095,1152,1080,1021
27,South Carolina,7042,445,455,433,408
28,District of Columbia,913,26,26,24,22
29,Kansas,3767,128,133,119,104
30,Missouri,7041,191,188,169,148
31,Vermont,174,4,3,4,4
32,Virginia,6464,333,339,346,347
33,Connecticut,7046,179,178,172,159
34,Iowa,4901,409,141,125,111
35,Louisiana,8859,269,240,223,202
36,Ohio,11175,408,378,357,327
37,Michigan,15525,295,283,248,215
38,South Dakota,1778,71,66,57,48
39,Arkansas,4868,227,201,178,157
40,Delaware,1090,36,29,28,26
41,Mississippi,6045,250,235,208,184
42,New Mexico,3283,123,111,96,83
43,North Dakota,1447,12,13,12,10
44,Wyoming,596,13,15,13,12
45,Alaska,262,6,7,6,5
46,Maine,590,40,47,48,48
47,Alabama,7688,945,712,631,534
48,Idaho,1725,42,42,37,32
49,Montana,1233,52,54,48,45
50,Puerto Rico,1829,NaN,NaN,NaN,NaN
51,Virgin Islands,24,NaN,NaN,NaN,NaN
52,Guam,129,NaN,NaN,NaN,NaN
53,West Virginia,2024,114,111,102,93
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
