,State,284,290,297,304,311
0,Washington,2366,78,84,91,96
1,Illinois,10075,198,200,200,198
2,California,17671,157,125,98,75
3,Arizona,5979,140,154,170,188
4,Massachusetts,10013,222,255,293,337
5,Wisconsin,2363,248,299,341,364
6,Texas,18501,581,571,558,541
7,Nebraska,654,55,63,69,74
8,Utah,614,43,48,52,55
9,Oregon,691,41,45,50,55
10,Florida,16789,458,444,431,419
11,New York,33752,242,273,307,342
12,Rhode Island,1201,54,72,94,120
13,Georgia,7981,130,119,109,100
14,New Hampshire,483,12,15,18,23
15,North Carolina,4383,170,169,166,162
16,New Jersey,16354,601,651,701,750
17,Colorado,2288,102,123,146,172
18,Maryland,4152,45,43,40,38
19,Nevada,1781,36,32,29,25
20,Tennessee,3353,70,63,56,49
21,Hawaii,219,7,6,6,6
22,Indiana,4364,117,118,118,118
23,Kentucky,1489,66,65,63,60
24,Minnesota,2529,98,104,109,113
25,Oklahoma,1345,76,76,75,73
26,Pennsylvania,8803,150,151,152,152
27,South Carolina,3936,145,140,134,126
28,District of Columbia,646,3,2,2,2
29,Kansas,1029,53,53,52,51
30,Missouri,3038,166,173,177,180
31,Vermont,58,0,0,0,0
32,Virginia,3655,85,81,76,72
33,Connecticut,4616,125,140,156,173
34,Iowa,1733,57,48,40,33
35,Louisiana,5926,39,35,31,27
36,Ohio,5303,127,123,118,113
37,Michigan,7699,142,152,164,176
38,South Dakota,437,52,55,56,53
39,Arkansas,1958,116,117,118,117
40,Delaware,710,16,16,17,18
41,Mississippi,3348,11,8,5,4
42,New Mexico,1026,283,483,813,1283
43,North Dakota,531,71,73,71,65
44,Wyoming,87,19,25,31,37
45,Alaska,83,12,14,16,17
46,Maine,147,4,4,4,4
47,Alabama,2973,97,94,90,86
48,Idaho,630,69,76,80,82
49,Montana,376,108,132,153,166
50,Puerto Rico,832,46,45,44,43
51,Virgin Islands,21,NaN,NaN,NaN,NaN
52,Guam,79,NaN,NaN,NaN,NaN
53,West Virginia,460,46,50,54,58
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
