,State,403,409,416,423,430
0,Washington,4956,136,157,127,121
1,Illinois,22735,245,223,219,187
2,California,52158,1888,1672,1509,1384
3,Arizona,15980,321,235,174,152
4,Massachusetts,16118,322,304,294,286
5,Wisconsin,7014,101,105,95,65
6,Texas,43697,1474,1466,1436,1442
7,Nebraska,2082,52,50,51,41
8,Utah,1935,88,53,43,36
9,Oregon,2208,46,48,49,51
10,Florida,30852,901,883,835,799
11,New York,47615,676,686,687,693
12,Rhode Island,2502,24,21,16,12
13,Georgia,17295,429,386,354,370
14,New Hampshire,1170,36,41,36,17
15,North Carolina,11212,204,165,120,87
16,New Jersey,23252,316,304,289,319
17,Colorado,5951,84,89,61,61
18,Maryland,7869,164,153,151,150
19,Nevada,4957,109,100,77,70
20,Tennessee,11411,250,259,257,260
21,Hawaii,438,9,11,13,14
22,Indiana,12573,169,152,133,117
23,Kentucky,4637,167,133,113,99
24,Minnesota,6551,59,55,54,54
25,Oklahoma,4428,212,165,156,154
26,Pennsylvania,23967,432,422,417,409
27,South Carolina,8546,203,171,145,122
28,District of Columbia,1017,29,26,28,30
29,Kansas,4692,75,62,42,28
30,Missouri,8280,148,159,136,89
31,Vermont,204,20,23,10,8
32,Virginia,8552,117,99,85,54
33,Connecticut,7622,61,59,47,40
34,Iowa,5471,114,125,94,91
35,Louisiana,9608,124,100,83,94
36,Ohio,17297,383,323,269,227
37,Michigan,16508,175,184,158,128
38,South Dakota,1888,38,25,25,28
39,Arkansas,5243,55,61,47,31
40,Delaware,1422,69,72,66,61
41,Mississippi,6681,119,113,117,129
42,New Mexico,3716,101,77,68,64
43,North Dakota,1475,8,4,3,3
44,Wyoming,671,22,29,22,8
45,Alaska,290,2,2,1,1
46,Maine,703,24,20,9,10
47,Alabama,9929,225,182,173,145
48,Idaho,1860,47,32,31,32
49,Montana,1357,32,34,31,28
50,Puerto Rico,2036,NaN,NaN,NaN,NaN
51,Virgin Islands,25,NaN,NaN,NaN,NaN
52,Guam,130,NaN,NaN,NaN,NaN
53,West Virginia,2300,58,61,37,36
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
