,State,277,283,290,297,304
0,Washington,2296,51,65,86,96
1,Illinois,9775,347,477,599,675
2,California,17358,462,604,613,615
3,Arizona,5874,73,97,120,133
4,Massachusetts,9864,155,207,232,228
5,Wisconsin,1778,208,225,228,214
6,Texas,17955,559,644,682,670
7,Nebraska,596,47,53,51,46
8,Utah,572,33,42,45,46
9,Oregon,653,28,33,33,32
10,Florida,16429,521,648,721,760
11,New York,33422,86,83,80,77
12,Rhode Island,1177,34,47,52,54
13,Georgia,7809,197,220,251,273
14,New Hampshire,473,10,12,14,15
15,North Carolina,4157,198,215,209,194
16,New Jersey,16285,65,66,62,61
17,Colorado,2223,44,63,87,107
18,Maryland,4096,53,50,48,45
19,Nevada,1744,44,54,68,76
20,Tennessee,3131,242,247,257,261
21,Hawaii,212,35,36,35,20
22,Indiana,4130,214,252,255,259
23,Kentucky,1407,79,105,122,127
24,Minnesota,2402,117,128,136,139
25,Oklahoma,1249,77,90,92,90
26,Pennsylvania,8647,186,218,226,223
27,South Carolina,3802,140,156,153,150
28,District of Columbia,642,9,6,5,6
29,Kansas,956,84,83,71,70
30,Missouri,2820,254,263,292,290
31,Vermont,58,3,4,6,11
32,Virginia,3579,119,125,122,110
33,Connecticut,4577,21,19,17,21
34,Iowa,1635,96,119,123,123
35,Louisiana,5837,103,112,106,102
36,Ohio,5206,122,134,135,138
37,Michigan,7522,150,151,134,127
38,South Dakota,375,64,78,98,107
39,Arkansas,1812,124,137,150,164
40,Delaware,681,18,18,18,16
41,Mississippi,3255,58,50,40,32
42,New Mexico,967,44,53,55,56
43,North Dakota,456,52,77,94,110
44,Wyoming,68,11,15,19,22
45,Alaska,68,8,11,15,21
46,Maine,146,4,5,5,4
47,Alabama,2866,80,96,140,167
48,Idaho,573,51,52,52,52
49,Montana,297,52,62,66,61
50,Puerto Rico,801,NaN,NaN,NaN,NaN
51,Virgin Islands,21,NaN,NaN,NaN,NaN
52,Guam,69,NaN,NaN,NaN,NaN
53,West Virginia,425,20,21,22,23
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
