,State,347,353,360,367,374,381,388,395,402,409,416,423,430,437,444
0,Washington,3459,153,159,164,167,170,171,171,170,169,167,165,162,159,156
1,Illinois,18322,976,876,762,671,600,543,497,459,426,399,376,356,338,322
2,California,26638,2356,2182,1945,1784,1677,1606,1561,1532,1513,1502,1495,1491,1488,1486
3,Arizona,9061,627,556,479,424,386,360,342,330,321,314,310,307,304,302
4,Massachusetts,12610,501,467,419,385,361,343,328,316,305,294,285,275,266,257
5,Wisconsin,5261,278,267,257,246,236,225,215,205,196,186,177,168,159,151
6,Texas,28430,1418,1328,1221,1143,1084,1039,1003,974,949,927,906,887,869,851
7,Nebraska,1672,109,98,86,76,70,65,61,58,56,55,53,52,51,51
8,Utah,1301,86,89,87,86,85,84,83,82,81,81,80,79,79,78
9,Oregon,1500,68,72,79,84,88,90,92,93,93,92,91,90,88,86
10,Florida,21987,757,727,688,658,636,617,601,588,575,563,552,540,529,518
11,New York,38415,959,975,1065,1199,1378,1597,1855,2157,2506,2905,3358,3857,4394,4969
12,Rhode Island,1777,30,28,26,25,23,22,21,20,19,18,17,16,15,14
13,Georgia,10964,272,284,300,314,325,333,340,346,350,354,356,358,360,361
14,New Hampshire,780,65,55,44,36,31,27,24,22,21,20,19,18,18,17
15,North Carolina,6910,295,306,317,328,338,346,355,362,369,375,380,384,388,391
16,New Jersey,19208,602,612,592,573,553,533,512,492,471,450,429,409,390,371
17,Colorado,4934,325,313,293,279,268,261,254,249,245,241,238,234,231,227
18,Maryland,5994,272,241,219,206,198,195,194,196,198,201,204,207,210,213
19,Nevada,3180,202,196,192,191,191,193,196,199,202,205,207,210,213,215
20,Tennessee,7025,541,565,583,602,620,638,654,670,684,697,709,720,730,738
21,Hawaii,289,7,6,6,5,5,4,4,4,4,3,3,3,3,3
22,Indiana,8475,630,613,571,539,513,491,472,455,439,424,409,394,379,365
23,Kentucky,2723,166,174,182,187,191,194,195,196,196,196,195,194,193,191
24,Minnesota,5489,254,249,258,264,269,272,273,274,274,273,271,270,268,265
25,Oklahoma,2547,172,180,189,197,202,206,209,210,210,209,208,206,203,200
26,Pennsylvania,16230,1321,1274,1223,1196,1184,1181,1182,1185,1188,1189,1188,1185,1179,1170
27,South Carolina,5469,259,250,243,240,241,245,250,255,261,267,273,279,283,288
28,District of Columbia,794,25,18,13,10,8,6,5,4,4,3,3,3,2,2
29,Kansas,2872,204,216,227,238,248,258,266,274,281,288,294,299,304,307
30,Missouri,5736,141,135,129,123,118,113,108,104,99,95,91,88,84,80
31,Vermont,140,17,15,13,12,11,11,10,10,10,10,9,9,9,8
32,Virginia,5124,286,266,230,202,180,161,146,134,123,115,107,101,96,92
33,Connecticut,6099,309,279,241,213,193,178,166,156,148,141,134,128,122,117
34,Iowa,3946,175,173,170,168,165,163,161,158,156,154,152,150,148,146
35,Louisiana,7537,193,179,187,196,205,215,225,235,245,255,265,274,283,292
36,Ohio,9076,570,597,601,602,600,596,590,582,573,563,552,541,529,518
37,Michigan,13306,149,231,226,210,193,176,160,145,131,119,107,96,86,78
38,South Dakota,1513,18,24,21,17,13,10,8,6,5,4,3,2,2,1
39,Arkansas,3749,293,296,296,298,301,305,308,312,315,318,320,321,322,323
40,Delaware,930,16,15,14,13,12,11,10,9,8,8,7,6,6,5
41,Mississippi,4871,296,299,282,268,259,251,245,241,236,233,229,226,223,220
42,New Mexico,2551,215,186,153,129,111,98,88,80,75,70,67,64,61,59
43,North Dakota,1310,44,34,24,16,9,6,4,3,2,1,1,0,0,0
44,Wyoming,438,18,16,14,12,11,10,10,9,8,8,7,7,6,6
45,Alaska,215,21,21,21,21,21,21,21,21,20,20,20,20,19,19
46,Maine,359,39,36,30,27,24,22,21,19,18,18,17,16,16,15
47,Alabama,4873,160,137,134,135,136,138,140,143,145,146,147,148,148,148
48,Idaho,1448,96,96,93,90,88,86,84,83,81,80,78,77,75,74
49,Montana,972,55,61,64,65,65,64,62,60,58,56,53,51,48,46
50,Puerto Rico,1545,82,59,43,31,22,15,10,6,4,3,2,1,1,0
51,Virgin Islands,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,West Virginia,1376,118,125,136,145,152,157,161,163,165,165,165,164,163,161
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
