,State,187,192,199,206,213,220,227,234,241
0,Washington,1518,139,169,162,155,147,137,127,116
1,Illinois,7608,268,340,441,557,676,788,877,929
2,California,8494,1121,1202,1133,922,841,734,625,522
3,Arizona,3304,493,424,386,349,281,218,163,118
4,Massachusetts,8536,108,136,176,225,282,347,419,492
5,Wisconsin,893,88,108,120,131,140,145,145,142
6,Texas,6483,797,931,757,529,407,303,222,161
7,Nebraska,317,16,20,24,27,31,34,36,36
8,Utah,281,24,24,22,19,17,15,13,11
9,Oregon,289,35,39,39,39,38,37,35,34
10,Florida,5931,982,1089,1044,1029,896,754,608,476
11,New York,32639,327,335,353,370,381,390,397,401
12,Rhode Island,1004,21,22,23,23,23,23,23,22
13,Georgia,3509,414,445,468,454,423,375,319,262
14,New Hampshire,409,10,11,14,17,21,26,31,36
15,North Carolina,1838,202,221,213,197,183,165,147,128
16,New Jersey,15804,158,165,179,194,207,219,229,237
17,Colorado,1799,106,129,170,228,289,355,418,468
18,Maryland,3447,146,196,241,285,326,359,379,384
19,Nevada,739,94,135,127,107,89,71,55,42
20,Tennessee,978,118,138,147,160,153,140,123,104
21,Hawaii,26,2,2,5,10,19,35,59,91
22,Indiana,2906,170,222,273,326,378,422,453,467
23,Kentucky,709,63,89,108,121,139,155,168,175
24,Minnesota,1616,117,128,159,208,244,278,304,318
25,Oklahoma,496,70,74,97,148,169,182,178,160
26,Pennsylvania,7131,339,374,398,421,441,455,464,466
27,South Carolina,1506,220,244,210,162,130,100,76,56
28,District of Columbia,582,16,21,25,28,32,36,38,40
29,Kansas,333,37,40,40,39,38,37,34,31
30,Missouri,1221,102,140,218,305,419,537,632,672
31,Vermont,56,1,2,2,2,2,2,3,3
32,Virginia,2082,126,161,177,188,197,201,201,196
33,Connecticut,4418,54,58,65,73,81,90,99,107
34,Iowa,836,69,72,70,67,62,57,51,44
35,Louisiana,3786,443,497,520,505,436,351,266,192
36,Ohio,3344,336,375,363,337,326,309,289,267
37,Michigan,6405,295,342,361,382,396,407,412,413
38,South Dakota,123,5,5,7,9,10,12,13,15
39,Arkansas,408,45,50,53,55,54,52,47,42
40,Delaware,579,28,27,29,30,31,31,31,29
41,Mississippi,1498,150,199,260,289,310,296,255,202
42,New Mexico,619,56,61,65,67,68,68,66,63
43,North Dakota,99,8,11,14,17,20,22,24,24
44,Wyoming,25,2,2,3,3,3,4,4,5
45,Alaska,21,2,3,5,9,13,17,20,21
46,Maine,119,4,4,4,5,6,7,8,9
47,Alabama,1491,186,234,216,181,153,125,98,76
48,Idaho,152,25,31,27,22,18,14,11,9
49,Montana,47,7,10,11,13,14,15,16,16
50,Puerto Rico,201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,104,14,13,15,18,21,24,26,28
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
