,State,285,290,297,304,311
0,Washington,2378,38,44,38,34
1,Illinois,10093,747,875,860,838
2,California,17689,302,323,286,254
3,Arizona,5982,57,67,63,61
4,Massachusetts,10023,265,308,308,301
5,Wisconsin,2404,364,462,492,497
6,Texas,18532,633,704,651,601
7,Nebraska,656,58,65,56,47
8,Utah,614,96,106,97,89
9,Oregon,692,41,49,49,48
10,Florida,16834,478,497,437,388
11,New York,33763,219,256,251,246
12,Rhode Island,1210,20,23,22,19
13,Georgia,7999,139,139,115,96
14,New Hampshire,483,11,15,18,21
15,North Carolina,4390,216,256,260,261
16,New Jersey,16357,90,116,131,142
17,Colorado,2292,73,79,69,59
18,Maryland,4155,81,97,95,92
19,Nevada,1784,49,55,53,51
20,Tennessee,3379,183,209,191,172
21,Hawaii,219,18,24,27,29
22,Indiana,4390,455,593,670,749
23,Kentucky,1492,99,118,117,109
24,Minnesota,2538,235,292,302,313
25,Oklahoma,1354,139,159,150,135
26,Pennsylvania,8812,163,188,179,167
27,South Carolina,3946,118,137,129,123
28,District of Columbia,647,2,2,2,1
29,Kansas,1046,65,67,59,47
30,Missouri,3043,198,223,200,176
31,Vermont,58,0,0,0,0
32,Virginia,3658,68,66,54,43
33,Connecticut,4627,27,34,35,36
34,Iowa,1756,183,206,193,180
35,Louisiana,5934,108,122,111,101
36,Ohio,5340,76,78,68,56
37,Michigan,7716,162,204,215,208
38,South Dakota,438,161,223,261,303
39,Arkansas,1985,310,348,327,306
40,Delaware,710,34,43,45,47
41,Mississippi,3348,149,171,160,149
42,New Mexico,1036,102,129,136,143
43,North Dakota,540,106,117,108,97
44,Wyoming,97,7,11,18,31
45,Alaska,84,13,14,13,12
46,Maine,148,0,0,0,0
47,Alabama,2973,115,140,137,133
48,Idaho,632,54,61,54,45
49,Montana,386,61,63,49,37
50,Puerto Rico,839,NaN,NaN,NaN,NaN
51,Virgin Islands,21,NaN,NaN,NaN,NaN
52,Guam,79,NaN,NaN,NaN,NaN
53,West Virginia,461,29,34,34,33
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
