forecast_date,target,target_end_date,location,type,quantile,value
2020-09-06,1 wk ahead inc case,2020-09-12,01,quantile,0.025,7978.641889185121
2020-09-06,1 wk ahead inc case,2020-09-12,01,quantile,0.1,8202.687185998424
2020-09-06,1 wk ahead inc case,2020-09-12,01,quantile,0.25,8431.868150891503
2020-09-06,1 wk ahead inc case,2020-09-12,01,quantile,0.5,8667.086188937974
2020-09-06,1 wk ahead inc case,2020-09-12,01,quantile,0.75,8926.980552095221
2020-09-06,1 wk ahead inc case,2020-09-12,01,quantile,0.9,9185.578107103267
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.01,98.78553963012743
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.01,2373.7855396301275
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.025,100.63906911728918
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.025,2375.639069117289
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.05,101.62973787027296
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.05,2376.629737870273
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.1,102.93862779180701
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.1,2377.938627791807
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.15,104.04947288214909
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.15,2379.049472882149
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.2,105.40150804330187
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.2,2380.401508043302
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.25,106.69464857724961
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.25,2381.6946485772496
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.3,108.46403938888807
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.3,2383.464039388888
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.35,110.89619994772691
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.35,2385.896199947727
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.4,112.0721187114273
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.4,2387.0721187114277
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.45,113.05373324392988
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.45,2388.05373324393
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.5,114.23939356686243
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.5,2389.2393935668624
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.55,116.06409543087419
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.55,2391.064095430874
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.6,117.62272382779156
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.6,2392.622723827792
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.65,119.44638840164772
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.65,2394.446388401648
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.7,121.47669089575628
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.7,2396.476690895757
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.75,123.17003172801424
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.75,2398.170031728015
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.8,125.80271469333138
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.8,2400.8027146933314
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.85,128.75863705400386
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.85,2403.758637054004
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.9,131.28714288332958
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.9,2406.2871428833296
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.95,139.31161416680652
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.95,2414.3116141668065
2020-09-06,1 wk ahead inc death,2020-09-12,01,quantile,0.975,144.66487781938258
2020-09-06,1 wk ahead cum death,2020-09-12,01,quantile,0.975,2419.6648778193826
