forceast_date,location,quantile,target,target_end_date,type,value
2021-02-06,53,,1 wk ahead inc death,2021-02-13,point,175.0
2021-02-06,53,,1 wk ahead cum death,2021-02-13,point,4624.0
2021-02-06,53,,2 wk ahead inc death,2021-02-20,point,177.0
2021-02-06,53,,2 wk ahead cum death,2021-02-20,point,4801.0
2021-02-06,53,,3 wk ahead inc death,2021-02-27,point,166.0
2021-02-06,53,,3 wk ahead cum death,2021-02-27,point,4967.0
2021-02-06,53,,4 wk ahead inc death,2021-03-06,point,164.0
2021-02-06,53,,4 wk ahead cum death,2021-03-06,point,5131.0
2021-02-06,17,,1 wk ahead inc death,2021-02-13,point,536.0
2021-02-06,17,,1 wk ahead cum death,2021-02-13,point,22212.0
2021-02-06,17,,2 wk ahead inc death,2021-02-20,point,503.0
2021-02-06,17,,2 wk ahead cum death,2021-02-20,point,22715.0
2021-02-06,17,,3 wk ahead inc death,2021-02-27,point,426.0
2021-02-06,17,,3 wk ahead cum death,2021-02-27,point,23141.0
2021-02-06,17,,4 wk ahead inc death,2021-03-06,point,360.0
2021-02-06,17,,4 wk ahead cum death,2021-03-06,point,23501.0
2021-02-06,06,,1 wk ahead inc death,2021-02-13,point,3465.0
2021-02-06,06,,1 wk ahead cum death,2021-02-13,point,47456.0
2021-02-06,06,,2 wk ahead inc death,2021-02-20,point,3104.0
2021-02-06,06,,2 wk ahead cum death,2021-02-20,point,50560.0
2021-02-06,06,,3 wk ahead inc death,2021-02-27,point,2487.0
2021-02-06,06,,3 wk ahead cum death,2021-02-27,point,53047.0
2021-02-06,06,,4 wk ahead inc death,2021-03-06,point,1965.0
2021-02-06,06,,4 wk ahead cum death,2021-03-06,point,55012.0
2021-02-06,04,,1 wk ahead inc death,2021-02-13,point,1003.0
2021-02-06,04,,1 wk ahead cum death,2021-02-13,point,15014.0
2021-02-06,04,,2 wk ahead inc death,2021-02-20,point,957.0
2021-02-06,04,,2 wk ahead cum death,2021-02-20,point,15971.0
2021-02-06,04,,3 wk ahead inc death,2021-02-27,point,839.0
2021-02-06,04,,3 wk ahead cum death,2021-02-27,point,16810.0
2021-02-06,04,,4 wk ahead inc death,2021-03-06,point,605.0
2021-02-06,04,,4 wk ahead cum death,2021-03-06,point,17415.0
2021-02-06,25,,1 wk ahead inc death,2021-02-13,point,439.0
2021-02-06,25,,1 wk ahead cum death,2021-02-13,point,15360.0
2021-02-06,25,,2 wk ahead inc death,2021-02-20,point,417.0
2021-02-06,25,,2 wk ahead cum death,2021-02-20,point,15777.0
2021-02-06,25,,3 wk ahead inc death,2021-02-27,point,361.0
2021-02-06,25,,3 wk ahead cum death,2021-02-27,point,16138.0
2021-02-06,25,,4 wk ahead inc death,2021-03-06,point,328.0
2021-02-06,25,,4 wk ahead cum death,2021-03-06,point,16466.0
2021-02-06,55,,1 wk ahead inc death,2021-02-13,point,236.0
2021-02-06,55,,1 wk ahead cum death,2021-02-13,point,6847.0
2021-02-06,55,,2 wk ahead inc death,2021-02-20,point,224.0
2021-02-06,55,,2 wk ahead cum death,2021-02-20,point,7071.0
2021-02-06,55,,3 wk ahead inc death,2021-02-27,point,198.0
2021-02-06,55,,3 wk ahead cum death,2021-02-27,point,7269.0
2021-02-06,55,,4 wk ahead inc death,2021-03-06,point,150.0
2021-02-06,55,,4 wk ahead cum death,2021-03-06,point,7419.0
2021-02-06,48,,1 wk ahead inc death,2021-02-13,point,2353.0
2021-02-06,48,,1 wk ahead cum death,2021-02-13,point,41535.0
2021-02-06,48,,2 wk ahead inc death,2021-02-20,point,2275.0
2021-02-06,48,,2 wk ahead cum death,2021-02-20,point,43810.0
2021-02-06,48,,3 wk ahead inc death,2021-02-27,point,2082.0
