forecast_date,target,target_end_date,location,type,quantile,value
2020-08-14,1 wk ahead inc case,2020-08-22,01,quantile,0.025,4605.101412147982
2020-08-14,1 wk ahead inc case,2020-08-22,01,quantile,0.1,4874.7096860844895
2020-08-14,1 wk ahead inc case,2020-08-22,01,quantile,0.25,5086.810213293953
2020-08-14,1 wk ahead inc case,2020-08-22,01,quantile,0.5,5315.518730809547
2020-08-14,1 wk ahead inc case,2020-08-22,01,quantile,0.75,5573.275126671696
2020-08-14,1 wk ahead inc case,2020-08-22,01,quantile,0.9,5812.418785149056
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.01,140.07036092196336
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.01,2066.5297024875185
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.025,142.4202317034476
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.025,2068.879573269003
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.05,148.50389652529225
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.05,2074.9632380908474
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.1,154.45375100707383
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.1,2080.913092572629
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.15,156.83923770313342
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.15,2083.2985792686886
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.2,158.77476256794466
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.2,2085.2341041335
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.25,160.25998307921301
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.25,2086.719324644768
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.3,161.66823453194934
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.3,2088.1275760975045
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.35,163.34297191658356
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.35,2089.8023134821387
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.4,164.85116381756802
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.4,2091.3105053831227
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.45,166.21168039402505
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.45,2092.6710219595802
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.5,167.5146746418757
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.5,2093.974016207431
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.55,168.78919998614697
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.55,2095.248541551702
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.6,170.28469700810527
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.6,2096.7440385736604
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.65,172.02438615300912
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.65,2098.4837277185643
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.7,173.61208032936455
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.7,2100.07142189492
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.75,175.70020917745688
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.75,2102.159550743012
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.8,178.06269392164336
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.8,2104.5220354871985
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.85,180.77772520458785
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.85,2107.237066770143
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.9,184.41916518678659
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.9,2110.8785067523418
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.95,190.5572728127929
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.95,2117.016614378348
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.975,195.40540339762288
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.975,2121.864744963178
2020-08-14,1 wk ahead inc death,2020-08-22,01,quantile,0.99,198.51062784081543
2020-08-14,1 wk ahead cum death,2020-08-22,01,quantile,0.99,2124.9699694063706
2020-08-14,1 wk ahead inc case,2020-08-22,01,point,,5370.342927928694
2020-08-14,1 wk ahead inc death,2020-08-22,01,point,,168.56574485193346
2020-08-14,1 wk ahead cum death,2020-08-22,01,point,,2095.0250864174886
2020-08-14,2 wk ahead inc case,2020-08-29,01,quantile,0.025,1458.8209973233315
2020-08-14,2 wk ahead inc case,2020-08-29,01,quantile,0.1,1752.662764253153
2020-08-14,2 wk ahead inc case,2020-08-29,01,quantile,0.25,1987.3509021757047
2020-08-14,2 wk ahead inc case,2020-08-29,01,quantile,0.5,2271.242331982008
2020-08-14,2 wk ahead inc case,2020-08-29,01,quantile,0.75,2537.822758632916
2020-08-14,2 wk ahead inc case,2020-08-29,01,quantile,0.9,2767.9259734543157
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.01,146.8762330346035
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.01,2241.901319452092
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.025,153.22982146551658
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.025,2248.254907883005
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.05,156.1734503063503
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.05,2251.198536723839
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.1,159.24184946080598
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.1,2254.2669358782946
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.15,161.14930469705178
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.15,2256.1743911145404
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.2,162.92912448482366
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.2,2257.9542109023128
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.25,164.41105477519204
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.25,2259.436141192681
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.3,165.86821885077052
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.3,2260.893305268259
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.35,167.09477554064188
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.35,2262.1198619581305
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.4,168.45148609741227
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.4,2263.476572514901
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.45,169.67586167724994
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.45,2264.7009480947386
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.5,170.95025919723318
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.5,2265.975345614722
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.55,172.2090509496311
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.55,2267.23413736712
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.6,173.5106461897481
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.6,2268.535732607237
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.65,175.02528740959946
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.65,2270.050373827088
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.7,176.63696021042506
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.7,2271.6620466279137
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.75,178.50252435501716
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.75,2273.5276107725063
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.8,180.70466035446185
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.8,2275.7297467719504
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.85,183.2892616968429
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.85,2278.314348114332
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.9,186.95875823111007
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.9,2281.9838446485987
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.95,192.2383052493388
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.95,2287.2633916668274
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.975,196.24786397266644
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.975,2291.272950390155
2020-08-14,2 wk ahead inc death,2020-08-29,01,quantile,0.99,200.7773787644678
2020-08-14,2 wk ahead cum death,2020-08-29,01,quantile,0.99,2295.8024651819564
2020-08-14,2 wk ahead inc case,2020-08-29,01,point,,2286.883372145297
2020-08-14,2 wk ahead inc death,2020-08-29,01,point,,172.54864218523838
2020-08-14,2 wk ahead cum death,2020-08-29,01,point,,2267.573728602727
2020-08-14,3 wk ahead inc case,2020-09-05,01,quantile,0.025,0.0
2020-08-14,3 wk ahead inc case,2020-09-05,01,quantile,0.1,0.0
2020-08-14,3 wk ahead inc case,2020-09-05,01,quantile,0.25,0.0
2020-08-14,3 wk ahead inc case,2020-09-05,01,quantile,0.5,0.0
2020-08-14,3 wk ahead inc case,2020-09-05,01,quantile,0.75,107.186514870642
2020-08-14,3 wk ahead inc case,2020-09-05,01,quantile,0.9,294.76145945704775
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.01,153.57792909461838
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.01,2421.151657697345
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.025,157.35170434286462
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.025,2424.925432945592
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.05,159.3883839640571
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.05,2426.962112566784
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.1,162.32717268580018
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.1,2429.9009012885267
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.15,164.5598737773321
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.15,2432.133602380059
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.2,165.97252032821282
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.2,2433.54624893094
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.25,167.53097617118556
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.25,2435.1047047739125
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.3,168.79108340399534
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.3,2436.3648120067223
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.35,170.19972264749003
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.35,2437.773451250217
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.4,171.5159538575681
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.4,2439.089682460295
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.45,172.6559166992215
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.45,2440.2296453019485
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.5,174.1807439192471
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.5,2441.754472521974
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.55,175.4299797670633
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.55,2443.0037083697907
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.6,176.88467959237502
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.6,2444.458408195102
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.65,178.44311136873242
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.65,2446.0168399714594
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.7,180.33732544515487
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.7,2447.911054047882
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.75,182.36398398298527
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.75,2449.937712585712
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.8,184.8282634712291
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.8,2452.401992073956
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.85,187.42000796179943
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.85,2454.9937365645264
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.9,190.4145054942519
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.9,2457.988234096979
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.95,195.53157170441773
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.95,2463.105300307145
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.975,200.6867849299588
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.975,2468.2605135326858
2020-08-14,3 wk ahead inc death,2020-09-05,01,quantile,0.99,205.34396095363218
2020-08-14,3 wk ahead cum death,2020-09-05,01,quantile,0.99,2472.917689556359
2020-08-14,3 wk ahead inc case,2020-09-05,01,point,,0.0
2020-08-14,3 wk ahead inc death,2020-09-05,01,point,,175.40317606678315
2020-08-14,3 wk ahead cum death,2020-09-05,01,point,,2442.97690466951
2020-08-14,4 wk ahead inc case,2020-09-12,01,quantile,0.025,0.0
2020-08-14,4 wk ahead inc case,2020-09-12,01,quantile,0.1,0.0
2020-08-14,4 wk ahead inc case,2020-09-12,01,quantile,0.25,0.0
2020-08-14,4 wk ahead inc case,2020-09-12,01,quantile,0.5,0.0
2020-08-14,4 wk ahead inc case,2020-09-12,01,quantile,0.75,0.0
2020-08-14,4 wk ahead inc case,2020-09-12,01,quantile,0.9,0.0
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.01,144.31882335723185
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.01,2587.295728026742
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.025,151.3420708429776
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.025,2594.318975512488
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.05,154.19910007237786
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.05,2597.176004741888
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.1,156.9243081963368
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.1,2599.901212865847
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.15,158.84448554277012
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.15,2601.8213902122798
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.2,160.70628995250172
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.2,2603.683194622012
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.25,162.38625996475412
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.25,2605.3631646342637
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.3,163.87240141526263
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.3,2606.849306084773
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.35,165.36258374557977
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.35,2608.33948841509
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.4,166.73248148715038
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.4,2609.7093861566605
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.45,167.92474313100138
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.45,2610.9016478005115
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.5,169.37418657888566
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.5,2612.351091248396
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.55,170.65509855700657
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.55,2613.632003226517
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.6,172.20823482008473
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.6,2615.1851394895957
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.65,173.76175581038797
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.65,2616.738660479898
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.7,175.46223749134697
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.7,2618.439142160857
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.75,177.38437423352343
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.75,2620.361278903033
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.8,179.61420950231968
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.8,2622.591114171829
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.85,182.37173641615254
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.85,2625.3486410856626
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.9,185.83775133257905
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.9,2628.814656002089
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.95,191.6701527228984
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.95,2634.6470573924084
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.975,195.6618963812939
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.975,2638.638801050804
2020-08-14,4 wk ahead inc death,2020-09-12,01,quantile,0.99,199.77318553304667
2020-08-14,4 wk ahead cum death,2020-09-12,01,quantile,0.99,2642.750090202557
2020-08-14,4 wk ahead inc case,2020-09-12,01,point,,0.0
2020-08-14,4 wk ahead inc death,2020-09-12,01,point,,170.90660186925697
2020-08-14,4 wk ahead cum death,2020-09-12,01,point,,2613.883506538767
2020-08-14,1 wk ahead inc case,2020-08-22,02,quantile,0.025,277.36802958683484
2020-08-14,1 wk ahead inc case,2020-08-22,02,quantile,0.1,294.65637663834013
2020-08-14,1 wk ahead inc case,2020-08-22,02,quantile,0.25,306.23317008458025
2020-08-14,1 wk ahead inc case,2020-08-22,02,quantile,0.5,322.1179422365817
2020-08-14,1 wk ahead inc case,2020-08-22,02,quantile,0.75,337.40611868393484
2020-08-14,1 wk ahead inc case,2020-08-22,02,quantile,0.9,354.24113118607835
2020-08-14,1 wk ahead inc death,2020-08-22,02,quantile,0.01,0.9213595151837204
2020-08-14,1 wk ahead cum death,2020-08-22,02,quantile,0.01,28.25658057563939
2020-08-14,1 wk ahead inc death,2020-08-22,02,quantile,0.025,0.9296669880700996
2020-08-14,1 wk ahead cum death,2020-08-22,02,quantile,0.025,28.264888048525766
2020-08-14,1 wk ahead inc death,2020-08-22,02,quantile,0.05,0.941837595595878
2020-08-14,1 wk ahead cum death,2020-08-22,02,quantile,0.05,28.27705865605155
